geoid,region_type,region_name,year,measure,value,type
51199050401,tract,"Census Tract 504.01, York County, Virginia",2019,num_post_hs_edu,1864,count
51013102003,tract,"Census Tract 1020.03, Arlington County, Virginia",2019,num_post_hs_edu,2155,count
51800075402,tract,"Census Tract 754.02, Suffolk city, Virginia",2019,num_post_hs_edu,1866,count
51041100107,tract,"Census Tract 1001.07, Chesterfield County, Virginia",2019,num_post_hs_edu,847,count
51061930304,tract,"Census Tract 9303.04, Fauquier County, Virginia",2019,num_post_hs_edu,1490,count
51059480201,tract,"Census Tract 4802.01, Fairfax County, Virginia",2019,perc_post_hs_edu,95.3039562560309,percent
51059451400,tract,"Census Tract 4514, Fairfax County, Virginia",2019,num_post_hs_edu,823,count
51111,county,"Lunenburg County, Virginia",2019,perc_post_hs_edu,37.43321460374,percent
51015071200,tract,"Census Tract 712, Augusta County, Virginia",2019,perc_post_hs_edu,58.2504970178926,percent
51031020200,tract,"Census Tract 202, Campbell County, Virginia",2019,perc_post_hs_edu,53.9961549024993,percent
51059432500,tract,"Census Tract 4325, Fairfax County, Virginia",2019,num_post_hs_edu,3384,count
51179,county,"Stafford County, Virginia",2019,num_post_hs_edu,66105,count
51053840500,tract,"Census Tract 8405, Dinwiddie County, Virginia",2019,perc_post_hs_edu,46.2976022566996,percent
51059440100,tract,"Census Tract 4401, Fairfax County, Virginia",2019,num_post_hs_edu,4325,count
51013102902,tract,"Census Tract 1029.02, Arlington County, Virginia",2019,perc_post_hs_edu,86.9491043502985,percent
51540000502,tract,"Census Tract 5.02, Charlottesville city, Virginia",2019,num_post_hs_edu,3183,count
51105,county,"Lee County, Virginia",2019,perc_post_hs_edu,42.277145237434,percent
51063920102,tract,"Census Tract 9201.02, Floyd County, Virginia",2019,perc_post_hs_edu,51.3841998649561,percent
51093280300,tract,"Census Tract 2803, Isle of Wight County, Virginia",2019,perc_post_hs_edu,54.5507927187317,percent
51053,county,"Dinwiddie County, Virginia",2019,perc_post_hs_edu,47.1489195648993,percent
51710004100,tract,"Census Tract 41, Norfolk city, Virginia",2019,perc_post_hs_edu,41.8793503480278,percent
51179010206,tract,"Census Tract 102.06, Stafford County, Virginia",2019,num_post_hs_edu,2210,count
51510200403,tract,"Census Tract 2004.03, Alexandria city, Virginia",2019,perc_post_hs_edu,89.6999188969992,percent
51800075302,tract,"Census Tract 753.02, Suffolk city, Virginia",2019,num_post_hs_edu,1160,count
51115951300,tract,"Census Tract 9513, Mathews County, Virginia",2019,perc_post_hs_edu,70.7051456575007,percent
51041100817,tract,"Census Tract 1008.17, Chesterfield County, Virginia",2019,perc_post_hs_edu,47.7182896155228,percent
51061930403,tract,"Census Tract 9304.03, Fauquier County, Virginia",2019,perc_post_hs_edu,69.2811755361398,percent
16,health district,Lord Fairfax,2019,perc_post_hs_edu,52.7780652466381,percent
51059440702,tract,"Census Tract 4407.02, Fairfax County, Virginia",2019,perc_post_hs_edu,89.8581750066899,percent
51790000500,tract,"Census Tract 5, Staunton city, Virginia",2019,num_post_hs_edu,1234,count
51027010600,tract,"Census Tract 106, Buchanan County, Virginia",2019,num_post_hs_edu,1087,count
51810046013,tract,"Census Tract 460.13, Virginia Beach city, Virginia",2019,num_post_hs_edu,2000,count
51155210201,tract,"Census Tract 2102.01, Pulaski County, Virginia",2019,perc_post_hs_edu,48.7021857923497,percent
51179010502,tract,"Census Tract 105.02, Stafford County, Virginia",2019,perc_post_hs_edu,62.749827705031,percent
51678,county,"Lexington city, Virginia",2019,num_post_hs_edu,2219,count
51700031701,tract,"Census Tract 317.01, Newport News city, Virginia",2019,num_post_hs_edu,910,count
51059480801,tract,"Census Tract 4808.01, Fairfax County, Virginia",2019,perc_post_hs_edu,64.6686746987952,percent
51033030202,tract,"Census Tract 302.02, Caroline County, Virginia",2019,perc_post_hs_edu,47.900466562986,percent
51760071100,tract,"Census Tract 711, Richmond city, Virginia",2019,num_post_hs_edu,3483,count
51059450602,tract,"Census Tract 4506.02, Fairfax County, Virginia",2019,perc_post_hs_edu,58.3558355835584,percent
51019050100,tract,"Census Tract 501, Bedford County, Virginia",2019,perc_post_hs_edu,50.5152224824356,percent
51051,county,"Dickenson County, Virginia",2019,perc_post_hs_edu,38.8663594470046,percent
51179010303,tract,"Census Tract 103.03, Stafford County, Virginia",2019,num_post_hs_edu,5855,count
51760050300,tract,"Census Tract 503, Richmond city, Virginia",2019,perc_post_hs_edu,95.6666666666667,percent
51810046214,tract,"Census Tract 462.14, Virginia Beach city, Virginia",2019,perc_post_hs_edu,73.3274905054046,percent
51810043200,tract,"Census Tract 432, Virginia Beach city, Virginia",2019,num_post_hs_edu,527,count
51830370200,tract,"Census Tract 3702, Williamsburg city, Virginia",2019,perc_post_hs_edu,59.7434632461766,percent
51095080301,tract,"Census Tract 803.01, James City County, Virginia",2019,perc_post_hs_edu,68.3388029379591,percent
51095080304,tract,"Census Tract 803.04, James City County, Virginia",2019,num_post_hs_edu,3622,count
51670820400,tract,"Census Tract 8204, Hopewell city, Virginia",2019,num_post_hs_edu,2370,count
51685920100,tract,"Census Tract 9201, Manassas Park city, Virginia",2019,num_post_hs_edu,1614,count
51193010200,tract,"Census Tract 102, Westmoreland County, Virginia",2019,perc_post_hs_edu,51.0439970171514,percent
51810046204,tract,"Census Tract 462.04, Virginia Beach city, Virginia",2019,num_post_hs_edu,2373,count
51093280400,tract,"Census Tract 2804, Isle of Wight County, Virginia",2019,num_post_hs_edu,1394,count
51149850501,tract,"Census Tract 8505.01, Prince George County, Virginia",2019,perc_post_hs_edu,60.898725687458104,percent
51187020700,tract,"Census Tract 207, Warren County, Virginia",2019,num_post_hs_edu,1098,count
51041100927,tract,"Census Tract 1009.27, Chesterfield County, Virginia",2019,perc_post_hs_edu,81.3649490804074,percent
51700030300,tract,"Census Tract 303, Newport News city, Virginia",2019,num_post_hs_edu,1729,count
51057950700,tract,"Census Tract 9507, Essex County, Virginia",2019,num_post_hs_edu,1369,count
51710002300,tract,"Census Tract 23, Norfolk city, Virginia",2019,num_post_hs_edu,1256,count
51087200409,tract,"Census Tract 2004.09, Henrico County, Virginia",2019,perc_post_hs_edu,48.9372731985485,percent
51059980200,tract,"Census Tract 9802, Fairfax County, Virginia",2019,num_post_hs_edu,0,count
51590001302,tract,"Census Tract 13.02, Danville city, Virginia",2019,num_post_hs_edu,150,count
51107610506,tract,"Census Tract 6105.06, Loudoun County, Virginia",2019,perc_post_hs_edu,78.8058095750403,percent
51105950600,tract,"Census Tract 9506, Lee County, Virginia",2019,num_post_hs_edu,1249,count
51740211400,tract,"Census Tract 2114, Portsmouth city, Virginia",2019,num_post_hs_edu,573,count
51153901008,tract,"Census Tract 9010.08, Prince William County, Virginia",2019,perc_post_hs_edu,70.986920332937,percent
51059432701,tract,"Census Tract 4327.01, Fairfax County, Virginia",2019,num_post_hs_edu,1999,count
51187020602,tract,"Census Tract 206.02, Warren County, Virginia",2019,perc_post_hs_edu,52.9738743746526,percent
51650010701,tract,"Census Tract 107.01, Hampton city, Virginia",2019,perc_post_hs_edu,51.5709156193896,percent
51041100600,tract,"Census Tract 1006, Chesterfield County, Virginia",2019,perc_post_hs_edu,62.7177700348432,percent
51710003600,tract,"Census Tract 36, Norfolk city, Virginia",2019,perc_post_hs_edu,92.5474254742547,percent
51085320900,tract,"Census Tract 3209, Hanover County, Virginia",2019,num_post_hs_edu,4376,count
51119951200,tract,"Census Tract 9512, Middlesex County, Virginia",2019,perc_post_hs_edu,52.9003470500744,percent
51550020904,tract,"Census Tract 209.04, Chesapeake city, Virginia",2019,num_post_hs_edu,4228,count
51087201502,tract,"Census Tract 2015.02, Henrico County, Virginia",2019,perc_post_hs_edu,59.5701643489254,percent
51143011300,tract,"Census Tract 113, Pittsylvania County, Virginia",2019,perc_post_hs_edu,59.6483795805973,percent
51680000500,tract,"Census Tract 5, Lynchburg city, Virginia",2019,perc_post_hs_edu,82.9207920792079,percent
51041100805,tract,"Census Tract 1008.05, Chesterfield County, Virginia",2019,num_post_hs_edu,1788,count
51107611020,tract,"Census Tract 6110.20, Loudoun County, Virginia",2019,num_post_hs_edu,4126,count
51087201403,tract,"Census Tract 2014.03, Henrico County, Virginia",2019,perc_post_hs_edu,54.7483134405812,percent
51067020400,tract,"Census Tract 204, Franklin County, Virginia",2019,num_post_hs_edu,2275,count
51119950900,tract,"Census Tract 9509, Middlesex County, Virginia",2019,num_post_hs_edu,672,count
51089010100,tract,"Census Tract 101, Henry County, Virginia",2019,num_post_hs_edu,1315,count
51041100703,tract,"Census Tract 1007.03, Chesterfield County, Virginia",2019,perc_post_hs_edu,63.5237567017933,percent
51127700300,tract,"Census Tract 7003, New Kent County, Virginia",2019,num_post_hs_edu,4313,count
51810046219,tract,"Census Tract 462.19, Virginia Beach city, Virginia",2019,perc_post_hs_edu,73.6147757255937,percent
51197050301,tract,"Census Tract 503.01, Wythe County, Virginia",2019,num_post_hs_edu,1636,count
51087201001,tract,"Census Tract 2010.01, Henrico County, Virginia",2019,num_post_hs_edu,3281,count
51650010306,tract,"Census Tract 103.06, Hampton city, Virginia",2019,perc_post_hs_edu,62.7277203348104,percent
51107611004,tract,"Census Tract 6110.04, Loudoun County, Virginia",2019,num_post_hs_edu,4372,count
51059415100,tract,"Census Tract 4151, Fairfax County, Virginia",2019,perc_post_hs_edu,76.8484848484848,percent
51013100100,tract,"Census Tract 1001, Arlington County, Virginia",2019,perc_post_hs_edu,93.3706540954626,percent
51041100812,tract,"Census Tract 1008.12, Chesterfield County, Virginia",2019,num_post_hs_edu,2786,count
51059480802,tract,"Census Tract 4808.02, Fairfax County, Virginia",2019,perc_post_hs_edu,86.6930693069307,percent
51740210500,tract,"Census Tract 2105, Portsmouth city, Virginia",2019,perc_post_hs_edu,50.451467268623,percent
51810046220,tract,"Census Tract 462.20, Virginia Beach city, Virginia",2019,perc_post_hs_edu,74.681570054588,percent
51107611501,tract,"Census Tract 6115.01, Loudoun County, Virginia",2019,perc_post_hs_edu,61.8415595188718,percent
51013102302,tract,"Census Tract 1023.02, Arlington County, Virginia",2019,perc_post_hs_edu,79.0934645115952,percent
51041100931,tract,"Census Tract 1009.31, Chesterfield County, Virginia",2019,num_post_hs_edu,3297,count
51760020100,tract,"Census Tract 201, Richmond city, Virginia",2019,num_post_hs_edu,395,count
51510201500,tract,"Census Tract 2015, Alexandria city, Virginia",2019,perc_post_hs_edu,88.575361321404,percent
