geoid,region_type,region_name,year,measure,value,measure_type
1,health district,Alexandria,2019,norm_2sefca,26.78815802,index
1,health district,Alexandria,2019,3sfca_tot_enrol,1.541943527,index
1,health district,Alexandria,2019,2sefca30_tot_enrol,1.417139442,index
1,health district,Alexandria,2019,norm_3sfca,27.7235244,index
1,health district,Alexandria,2019,perc_2sefca,71.42857143,percentile
1,health district,Alexandria,2019,perc_3sfca,74.28571429,percentile
1,health district,Alexandria,2019,capacity,NA,count
2,health district,Alleghany,2019,3sfca_tot_enrol,0.092216531,index
2,health district,Alleghany,2019,capacity,144,count
2,health district,Alleghany,2019,perc_3sfca,22.85714286,percentile
2,health district,Alleghany,2019,2sefca30_tot_enrol,0,index
2,health district,Alleghany,2019,norm_3sfca,1.658016128,index
2,health district,Alleghany,2019,perc_2sefca,31.42857143,percentile
2,health district,Alleghany,2019,norm_2sefca,0,index
3,health district,Arlington,2019,capacity,NA,count
3,health district,Arlington,2019,perc_3sfca,60,percentile
3,health district,Arlington,2019,2sefca30_tot_enrol,1.500374381,index
3,health district,Arlington,2019,3sfca_tot_enrol,1.177851501,index
3,health district,Arlington,2019,norm_2sefca,28.3615464,index
3,health district,Arlington,2019,norm_3sfca,21.17729621,index
3,health district,Arlington,2019,perc_2sefca,74.28571429,percentile
4,health district,Central Shenandoah,2019,2sefca30_tot_enrol,0,index
4,health district,Central Shenandoah,2019,capacity,159,count
4,health district,Central Shenandoah,2019,perc_2sefca,31.42857143,percentile
4,health district,Central Shenandoah,2019,perc_3sfca,40,percentile
4,health district,Central Shenandoah,2019,norm_2sefca,0,index
4,health district,Central Shenandoah,2019,3sfca_tot_enrol,0.561708231,index
4,health district,Central Shenandoah,2019,norm_3sfca,10.09928806,index
5,health district,Central Virginia,2019,3sfca_tot_enrol,2.000419996,index
5,health district,Central Virginia,2019,perc_3sfca,91.42857143,percentile
5,health district,Central Virginia,2019,perc_2sefca,91.42857143,percentile
5,health district,Central Virginia,2019,norm_3sfca,35.96674689,index
