geoid,region_type,region_name,year,measure,value,measure_type,measure_units
51510,county,"Alexandria city, Virginia",2019,num_hh_with_broadband,64603,count,NA
51013,county,"Arlington County, Virginia",2019,num_hh_with_broadband,97674,count,NA
51685,county,"Manassas Park city, Virginia",2019,num_hh_with_broadband,4157,count,NA
51683,county,"Manassas city, Virginia",2019,num_hh_with_broadband,11483,count,NA
51107,county,"Loudoun County, Virginia",2019,num_hh_with_broadband,121710,count,NA
51153,county,"Prince William County, Virginia",2019,num_hh_with_broadband,133766,count,NA
51610,county,"Falls Church city, Virginia",2019,num_hh_with_broadband,5147,count,NA
51600,county,"Fairfax city, Virginia",2019,num_hh_with_broadband,8184,count,NA
51059,county,"Fairfax County, Virginia",2019,num_hh_with_broadband,372354,count,NA
51107,county,"Loudoun County, Virginia",2018,num_hh_with_broadband,117395,count,NA
51153,county,"Prince William County, Virginia",2018,num_hh_with_broadband,130765,count,NA
51685,county,"Manassas Park city, Virginia",2018,num_hh_with_broadband,4187,count,NA
51683,county,"Manassas city, Virginia",2018,num_hh_with_broadband,11153,count,NA
51610,county,"Falls Church city, Virginia",2018,num_hh_with_broadband,4929,count,NA
51600,county,"Fairfax city, Virginia",2018,num_hh_with_broadband,8036,count,NA
51059,county,"Fairfax County, Virginia",2018,num_hh_with_broadband,366905,count,NA
51510,county,"Alexandria city, Virginia",2018,num_hh_with_broadband,62754,count,NA
51013,county,"Arlington County, Virginia",2018,num_hh_with_broadband,94594,count,NA
51107,county,"Loudoun County, Virginia",2017,num_hh_with_broadband,112774,count,NA
51153,county,"Prince William County, Virginia",2017,num_hh_with_broadband,127589,count,NA
51510,county,"Alexandria city, Virginia",2017,num_hh_with_broadband,60768,count,NA
51013,county,"Arlington County, Virginia",2017,num_hh_with_broadband,91828,count,NA
51610,county,"Falls Church city, Virginia",2017,num_hh_with_broadband,4865,count,NA
51685,county,"Manassas Park city, Virginia",2017,num_hh_with_broadband,4238,count,NA
51600,county,"Fairfax city, Virginia",2017,num_hh_with_broadband,7866,count,NA
51683,county,"Manassas city, Virginia",2017,num_hh_with_broadband,10902,count,NA
51059,county,"Fairfax County, Virginia",2017,num_hh_with_broadband,362201,count,NA
51510,county,"Alexandria city, Virginia",2019,num_hh_with_cable_fiber_dsl,58336,count,NA
51013,county,"Arlington County, Virginia",2019,num_hh_with_cable_fiber_dsl,89070,count,NA
51685,county,"Manassas Park city, Virginia",2019,num_hh_with_cable_fiber_dsl,3788,count,NA
51683,county,"Manassas city, Virginia",2019,num_hh_with_cable_fiber_dsl,10097,count,NA
51107,county,"Loudoun County, Virginia",2019,num_hh_with_cable_fiber_dsl,110554,count,NA
51153,county,"Prince William County, Virginia",2019,num_hh_with_cable_fiber_dsl,123965,count,NA
51610,county,"Falls Church city, Virginia",2019,num_hh_with_cable_fiber_dsl,4724,count,NA
51600,county,"Fairfax city, Virginia",2019,num_hh_with_cable_fiber_dsl,7698,count,NA
51059,county,"Fairfax County, Virginia",2019,num_hh_with_cable_fiber_dsl,348759,count,NA
51107,county,"Loudoun County, Virginia",2018,num_hh_with_cable_fiber_dsl,106607,count,NA
51153,county,"Prince William County, Virginia",2018,num_hh_with_cable_fiber_dsl,121312,count,NA
51685,county,"Manassas Park city, Virginia",2018,num_hh_with_cable_fiber_dsl,3861,count,NA
51683,county,"Manassas city, Virginia",2018,num_hh_with_cable_fiber_dsl,9674,count,NA
51610,county,"Falls Church city, Virginia",2018,num_hh_with_cable_fiber_dsl,4564,count,NA
51600,county,"Fairfax city, Virginia",2018,num_hh_with_cable_fiber_dsl,7561,count,NA
51059,county,"Fairfax County, Virginia",2018,num_hh_with_cable_fiber_dsl,345970,count,NA
51510,county,"Alexandria city, Virginia",2018,num_hh_with_cable_fiber_dsl,57069,count,NA
51013,county,"Arlington County, Virginia",2018,num_hh_with_cable_fiber_dsl,87673,count,NA
51107,county,"Loudoun County, Virginia",2017,num_hh_with_cable_fiber_dsl,102101,count,NA
51153,county,"Prince William County, Virginia",2017,num_hh_with_cable_fiber_dsl,116786,count,NA
51510,county,"Alexandria city, Virginia",2017,num_hh_with_cable_fiber_dsl,55556,count,NA
51013,county,"Arlington County, Virginia",2017,num_hh_with_cable_fiber_dsl,85988,count,NA
51610,county,"Falls Church city, Virginia",2017,num_hh_with_cable_fiber_dsl,4496,count,NA
51685,county,"Manassas Park city, Virginia",2017,num_hh_with_cable_fiber_dsl,3909,count,NA
51600,county,"Fairfax city, Virginia",2017,num_hh_with_cable_fiber_dsl,7376,count,NA
51683,county,"Manassas city, Virginia",2017,num_hh_with_cable_fiber_dsl,9469,count,NA
51059,county,"Fairfax County, Virginia",2017,num_hh_with_cable_fiber_dsl,344250,count,NA
51510,county,"Alexandria city, Virginia",2019,num_hh_without_internet,4540,count,NA
51013,county,"Arlington County, Virginia",2019,num_hh_without_internet,7187,count,NA
51685,county,"Manassas Park city, Virginia",2019,num_hh_without_internet,271,count,NA
51683,county,"Manassas city, Virginia",2019,num_hh_without_internet,1118,count,NA
51107,county,"Loudoun County, Virginia",2019,num_hh_without_internet,4536,count,NA
51153,county,"Prince William County, Virginia",2019,num_hh_without_internet,5727,count,NA
51610,county,"Falls Church city, Virginia",2019,num_hh_without_internet,190,count,NA
51600,county,"Fairfax city, Virginia",2019,num_hh_without_internet,231,count,NA
51059,county,"Fairfax County, Virginia",2019,num_hh_without_internet,16661,count,NA
51107,county,"Loudoun County, Virginia",2018,num_hh_without_internet,5207,count,NA
51153,county,"Prince William County, Virginia",2018,num_hh_without_internet,6810,count,NA
51685,county,"Manassas Park city, Virginia",2018,num_hh_without_internet,294,count,NA
51683,county,"Manassas city, Virginia",2018,num_hh_without_internet,1226,count,NA
51610,county,"Falls Church city, Virginia",2018,num_hh_without_internet,164,count,NA
51600,county,"Fairfax city, Virginia",2018,num_hh_without_internet,350,count,NA
51059,county,"Fairfax County, Virginia",2018,num_hh_without_internet,19190,count,NA
51510,county,"Alexandria city, Virginia",2018,num_hh_without_internet,5358,count,NA
51013,county,"Arlington County, Virginia",2018,num_hh_without_internet,7822,count,NA
51107,county,"Loudoun County, Virginia",2017,num_hh_without_internet,5487,count,NA
51153,county,"Prince William County, Virginia",2017,num_hh_without_internet,8382,count,NA
51510,county,"Alexandria city, Virginia",2017,num_hh_without_internet,5835,count,NA
51013,county,"Arlington County, Virginia",2017,num_hh_without_internet,7945,count,NA
51610,county,"Falls Church city, Virginia",2017,num_hh_without_internet,224,count,NA
51685,county,"Manassas Park city, Virginia",2017,num_hh_without_internet,314,count,NA
51600,county,"Fairfax city, Virginia",2017,num_hh_without_internet,480,count,NA
51683,county,"Manassas city, Virginia",2017,num_hh_without_internet,1220,count,NA
51059,county,"Fairfax County, Virginia",2017,num_hh_without_internet,22408,count,NA
51510,county,"Alexandria city, Virginia",2019,num_hh_without_compdev,3036,count,NA
51013,county,"Arlington County, Virginia",2019,num_hh_without_compdev,4607,count,NA
51685,county,"Manassas Park city, Virginia",2019,num_hh_without_compdev,149,count,NA
51683,county,"Manassas city, Virginia",2019,num_hh_without_compdev,979,count,NA
51107,county,"Loudoun County, Virginia",2019,num_hh_without_compdev,3223,count,NA
51153,county,"Prince William County, Virginia",2019,num_hh_without_compdev,3986,count,NA
51610,county,"Falls Church city, Virginia",2019,num_hh_without_compdev,101,count,NA
51600,county,"Fairfax city, Virginia",2019,num_hh_without_compdev,150,count,NA
51059,county,"Fairfax County, Virginia",2019,num_hh_without_compdev,11276,count,NA
51107,county,"Loudoun County, Virginia",2018,num_hh_without_compdev,3797,count,NA
51153,county,"Prince William County, Virginia",2018,num_hh_without_compdev,4581,count,NA
51685,county,"Manassas Park city, Virginia",2018,num_hh_without_compdev,154,count,NA
51683,county,"Manassas city, Virginia",2018,num_hh_without_compdev,1009,count,NA
51610,county,"Falls Church city, Virginia",2018,num_hh_without_compdev,116,count,NA
51600,county,"Fairfax city, Virginia",2018,num_hh_without_compdev,205,count,NA
51059,county,"Fairfax County, Virginia",2018,num_hh_without_compdev,13174,count,NA
