"geoid","region_type","region_name","year","measure","value","measure_type"
"51001","county","Accomack County, Virginia",2015,"no_hlth_ins_pct",5.85,"percent"
"51001","county","Accomack County, Virginia",2016,"no_hlth_ins_pct",6.13,"percent"
"51001","county","Accomack County, Virginia",2017,"no_hlth_ins_pct",6.01,"percent"
"51001","county","Accomack County, Virginia",2018,"no_hlth_ins_pct",5.36,"percent"
"51001","county","Accomack County, Virginia",2019,"no_hlth_ins_pct",5.82,"percent"
"51003","county","Albemarle County, Virginia",2015,"no_hlth_ins_pct",1.89,"percent"
"51003","county","Albemarle County, Virginia",2016,"no_hlth_ins_pct",1.79,"percent"
"51003","county","Albemarle County, Virginia",2017,"no_hlth_ins_pct",1.56,"percent"
"51003","county","Albemarle County, Virginia",2018,"no_hlth_ins_pct",1.67,"percent"
"51003","county","Albemarle County, Virginia",2019,"no_hlth_ins_pct",1.81,"percent"
"01","health district","Alexandria",2015,"no_hlth_ins_pct",7.03,"percent"
"01","health district","Alexandria",2016,"no_hlth_ins_pct",7.26,"percent"
"01","health district","Alexandria",2017,"no_hlth_ins_pct",7.15,"percent"
"01","health district","Alexandria",2018,"no_hlth_ins_pct",6.84,"percent"
"01","health district","Alexandria",2019,"no_hlth_ins_pct",6.51,"percent"
"51510","county","Alexandria city, Virginia",2015,"no_hlth_ins_pct",7.03,"percent"
"51510","county","Alexandria city, Virginia",2016,"no_hlth_ins_pct",7.26,"percent"
"51510","county","Alexandria city, Virginia",2017,"no_hlth_ins_pct",7.15,"percent"
"51510","county","Alexandria city, Virginia",2018,"no_hlth_ins_pct",6.84,"percent"
"51510","county","Alexandria city, Virginia",2019,"no_hlth_ins_pct",6.51,"percent"
"02","health district","Alleghany",2015,"no_hlth_ins_pct",0.758333333333333,"percent"
"02","health district","Alleghany",2016,"no_hlth_ins_pct",0.733333333333333,"percent"
"02","health district","Alleghany",2017,"no_hlth_ins_pct",0.598333333333333,"percent"
"02","health district","Alleghany",2018,"no_hlth_ins_pct",0.576666666666667,"percent"
"02","health district","Alleghany",2019,"no_hlth_ins_pct",0.511666666666667,"percent"
"51005","county","Alleghany County, Virginia",2015,"no_hlth_ins_pct",1.3,"percent"
"51005","county","Alleghany County, Virginia",2016,"no_hlth_ins_pct",1.16,"percent"
"51005","county","Alleghany County, Virginia",2017,"no_hlth_ins_pct",0.87,"percent"
"51005","county","Alleghany County, Virginia",2018,"no_hlth_ins_pct",0.96,"percent"
"51005","county","Alleghany County, Virginia",2019,"no_hlth_ins_pct",0.78,"percent"
"51007","county","Amelia County, Virginia",2015,"no_hlth_ins_pct",0.18,"percent"
"51007","county","Amelia County, Virginia",2016,"no_hlth_ins_pct",0.21,"percent"
"51007","county","Amelia County, Virginia",2017,"no_hlth_ins_pct",0.31,"percent"
"51007","county","Amelia County, Virginia",2018,"no_hlth_ins_pct",0.95,"percent"
"51007","county","Amelia County, Virginia",2019,"no_hlth_ins_pct",1.51,"percent"
"51009","county","Amherst County, Virginia",2015,"no_hlth_ins_pct",1.41,"percent"
"51009","county","Amherst County, Virginia",2016,"no_hlth_ins_pct",1.31,"percent"
"51009","county","Amherst County, Virginia",2017,"no_hlth_ins_pct",1.05,"percent"
"51009","county","Amherst County, Virginia",2018,"no_hlth_ins_pct",0.63,"percent"
"51009","county","Amherst County, Virginia",2019,"no_hlth_ins_pct",0.65,"percent"
"51011","county","Appomattox County, Virginia",2015,"no_hlth_ins_pct",0.03,"percent"
"51011","county","Appomattox County, Virginia",2016,"no_hlth_ins_pct",0.42,"percent"
"51011","county","Appomattox County, Virginia",2017,"no_hlth_ins_pct",0.46,"percent"
"51011","county","Appomattox County, Virginia",2018,"no_hlth_ins_pct",0.48,"percent"
"51011","county","Appomattox County, Virginia",2019,"no_hlth_ins_pct",0.86,"percent"
"03","health district","Arlington",2015,"no_hlth_ins_pct",5.8,"percent"
"03","health district","Arlington",2016,"no_hlth_ins_pct",5.24,"percent"
"03","health district","Arlington",2017,"no_hlth_ins_pct",5.1,"percent"
"03","health district","Arlington",2018,"no_hlth_ins_pct",4.08,"percent"
"03","health district","Arlington",2019,"no_hlth_ins_pct",3.84,"percent"
"51013","county","Arlington County, Virginia",2015,"no_hlth_ins_pct",5.8,"percent"
"51013","county","Arlington County, Virginia",2016,"no_hlth_ins_pct",5.24,"percent"
"51013","county","Arlington County, Virginia",2017,"no_hlth_ins_pct",5.1,"percent"
"51013","county","Arlington County, Virginia",2018,"no_hlth_ins_pct",4.08,"percent"
"51013","county","Arlington County, Virginia",2019,"no_hlth_ins_pct",3.84,"percent"
"51015","county","Augusta County, Virginia",2015,"no_hlth_ins_pct",0.83,"percent"
"51015","county","Augusta County, Virginia",2016,"no_hlth_ins_pct",0.59,"percent"
"51015","county","Augusta County, Virginia",2017,"no_hlth_ins_pct",0.94,"percent"
"51015","county","Augusta County, Virginia",2018,"no_hlth_ins_pct",0.87,"percent"
"51015","county","Augusta County, Virginia",2019,"no_hlth_ins_pct",1,"percent"
"51017","county","Bath County, Virginia",2015,"no_hlth_ins_pct",1.31,"percent"
"51017","county","Bath County, Virginia",2016,"no_hlth_ins_pct",2.14,"percent"
"51017","county","Bath County, Virginia",2017,"no_hlth_ins_pct",3.37,"percent"
"51017","county","Bath County, Virginia",2018,"no_hlth_ins_pct",0.5,"percent"
"51017","county","Bath County, Virginia",2019,"no_hlth_ins_pct",1.04,"percent"
"51019","county","Bedford County, Virginia",2015,"no_hlth_ins_pct",0.39,"percent"
"51019","county","Bedford County, Virginia",2016,"no_hlth_ins_pct",0.52,"percent"
"51019","county","Bedford County, Virginia",2017,"no_hlth_ins_pct",0.44,"percent"
"51019","county","Bedford County, Virginia",2018,"no_hlth_ins_pct",0.49,"percent"
"51019","county","Bedford County, Virginia",2019,"no_hlth_ins_pct",0.46,"percent"
"51021","county","Bland County, Virginia",2015,"no_hlth_ins_pct",0.39,"percent"
"51021","county","Bland County, Virginia",2016,"no_hlth_ins_pct",0.12,"percent"
"51021","county","Bland County, Virginia",2017,"no_hlth_ins_pct",0.06,"percent"
"51021","county","Bland County, Virginia",2018,"no_hlth_ins_pct",0.06,"percent"
"51021","county","Bland County, Virginia",2019,"no_hlth_ins_pct",0,"percent"
"51023","county","Botetourt County, Virginia",2015,"no_hlth_ins_pct",0.53,"percent"
"51023","county","Botetourt County, Virginia",2016,"no_hlth_ins_pct",0.65,"percent"
"51023","county","Botetourt County, Virginia",2017,"no_hlth_ins_pct",0.72,"percent"
"51023","county","Botetourt County, Virginia",2018,"no_hlth_ins_pct",0.67,"percent"
