geoid,year,region_name,region_type,measure,value,measure_type,measure_units
51001,2020,"Accomack County, Virginia",county,3sfca_capacity,0,index,NA
51003,2020,"Albemarle County, Virginia",county,3sfca_capacity,0.707520803,index,NA
51005,2020,"Alleghany County, Virginia",county,3sfca_capacity,0.858677632,index,NA
51007,2020,"Amelia County, Virginia",county,3sfca_capacity,0.043267881,index,NA
51009,2020,"Amherst County, Virginia",county,3sfca_capacity,0.001774444,index,NA
51011,2020,"Appomattox County, Virginia",county,3sfca_capacity,0.001774444,index,NA
51013,2020,"Arlington County, Virginia",county,3sfca_capacity,2.077412816,index,NA
51015,2020,"Augusta County, Virginia",county,3sfca_capacity,0.042210048,index,NA
51017,2020,"Bath County, Virginia",county,3sfca_capacity,0.051227927,index,NA
51019,2020,"Bedford County, Virginia",county,3sfca_capacity,0.023395069,index,NA
51021,2020,"Bland County, Virginia",county,3sfca_capacity,0.247476321,index,NA
51023,2020,"Botetourt County, Virginia",county,3sfca_capacity,0.039879564,index,NA
51025,2020,"Brunswick County, Virginia",county,3sfca_capacity,2.998709151,index,NA
51027,2020,"Buchanan County, Virginia",county,3sfca_capacity,0,index,NA
51029,2020,"Buckingham County, Virginia",county,3sfca_capacity,0,index,NA
51031,2020,"Campbell County, Virginia",county,3sfca_capacity,0.015927746,index,NA
51033,2020,"Caroline County, Virginia",county,3sfca_capacity,0.031113231,index,NA
51035,2020,"Carroll County, Virginia",county,3sfca_capacity,0.080858011,index,NA
51036,2020,"Charles City County, Virginia",county,3sfca_capacity,0.072305412,index,NA
51037,2020,"Charlotte County, Virginia",county,3sfca_capacity,0,index,NA
51041,2020,"Chesterfield County, Virginia",county,3sfca_capacity,0.039764941,index,NA
51043,2020,"Clarke County, Virginia",county,3sfca_capacity,0.062976227,index,NA
51045,2020,"Craig County, Virginia",county,3sfca_capacity,0.022073449,index,NA
51047,2020,"Culpeper County, Virginia",county,3sfca_capacity,1.100936366,index,NA
51049,2020,"Cumberland County, Virginia",county,3sfca_capacity,0,index,NA
51051,2020,"Dickenson County, Virginia",county,3sfca_capacity,0,index,NA
51053,2020,"Dinwiddie County, Virginia",county,3sfca_capacity,0.089027285,index,NA
51057,2020,"Essex County, Virginia",county,3sfca_capacity,0.128734643,index,NA
51059,2020,"Fairfax County, Virginia",county,3sfca_capacity,2.352703247,index,NA
51061,2020,"Fauquier County, Virginia",county,3sfca_capacity,0.108375021,index,NA
51063,2020,"Floyd County, Virginia",county,3sfca_capacity,0.132721463,index,NA
51065,2020,"Fluvanna County, Virginia",county,3sfca_capacity,0.042210048,index,NA
51067,2020,"Franklin County, Virginia",county,3sfca_capacity,0.029360021,index,NA
51069,2020,"Frederick County, Virginia",county,3sfca_capacity,0.565286607,index,NA
51071,2020,"Giles County, Virginia",county,3sfca_capacity,0.132721463,index,NA
51073,2020,"Gloucester County, Virginia",county,3sfca_capacity,1.930085935,index,NA
51075,2020,"Goochland County, Virginia",county,3sfca_capacity,0.03666164,index,NA
51077,2020,"Grayson County, Virginia",county,3sfca_capacity,0.028994559,index,NA
51079,2020,"Greene County, Virginia",county,3sfca_capacity,0.042210048,index,NA
51081,2020,"Greensville County, Virginia",county,3sfca_capacity,0.074604658,index,NA
51083,2020,"Halifax County, Virginia",county,3sfca_capacity,0.06739774,index,NA
51085,2020,"Hanover County, Virginia",county,3sfca_capacity,0.494591463,index,NA
51087,2020,"Henrico County, Virginia",county,3sfca_capacity,0.309070031,index,NA
51089,2020,"Henry County, Virginia",county,3sfca_capacity,0.314927514,index,NA
51091,2020,"Highland County, Virginia",county,3sfca_capacity,0,index,NA
51093,2020,"Isle Of Wight County, Virginia",county,3sfca_capacity,0.135273989,index,NA
51095,2020,"James City County, Virginia",county,3sfca_capacity,0.057117015,index,NA
51097,2020,"King And Queen County, Virginia",county,3sfca_capacity,0.128734643,index,NA
51099,2020,"King George County, Virginia",county,3sfca_capacity,0,index,NA
51101,2020,"King William County, Virginia",county,3sfca_capacity,0.079923937,index,NA
51103,2020,"Lancaster County, Virginia",county,3sfca_capacity,0.128734643,index,NA
51105,2020,"Lee County, Virginia",county,3sfca_capacity,0.0317807,index,NA
51107,2020,"Loudoun County, Virginia",county,3sfca_capacity,0.12393656,index,NA
51109,2020,"Louisa County, Virginia",county,3sfca_capacity,0.042210048,index,NA
51111,2020,"Lunenburg County, Virginia",county,3sfca_capacity,0.178900262,index,NA
51113,2020,"Madison County, Virginia",county,3sfca_capacity,0.082430392,index,NA
51115,2020,"Mathews County, Virginia",county,3sfca_capacity,0.064367321,index,NA
51117,2020,"Mecklenburg County, Virginia",county,3sfca_capacity,0.178900262,index,NA
51119,2020,"Middlesex County, Virginia",county,3sfca_capacity,2.157837824,index,NA
51121,2020,"Montgomery County, Virginia",county,3sfca_capacity,0.057531696,index,NA
51125,2020,"Nelson County, Virginia",county,3sfca_capacity,0.042210048,index,NA
51127,2020,"New Kent County, Virginia",county,3sfca_capacity,0.050778939,index,NA
51131,2020,"Northampton County, Virginia",county,3sfca_capacity,0,index,NA
51133,2020,"Northumberland County, Virginia",county,3sfca_capacity,0,index,NA
51135,2020,"Nottoway County, Virginia",county,3sfca_capacity,0.178900262,index,NA
51137,2020,"Orange County, Virginia",county,3sfca_capacity,0.082430392,index,NA
51139,2020,"Page County, Virginia",county,3sfca_capacity,0,index,NA
51141,2020,"Patrick County, Virginia",county,3sfca_capacity,0.019669299,index,NA
51143,2020,"Pittsylvania County, Virginia",county,3sfca_capacity,0.604974956,index,NA
51145,2020,"Powhatan County, Virginia",county,3sfca_capacity,0.037190556,index,NA
51147,2020,"Prince Edward County, Virginia",county,3sfca_capacity,0,index,NA
51149,2020,"Prince George County, Virginia",county,3sfca_capacity,0.044090796,index,NA
51153,2020,"Prince William County, Virginia",county,3sfca_capacity,0.12393656,index,NA
51155,2020,"Pulaski County, Virginia",county,3sfca_capacity,1.99023944,index,NA
51157,2020,"Rappahannock County, Virginia",county,3sfca_capacity,0.062976227,index,NA
51159,2020,"Richmond County, Virginia",county,3sfca_capacity,0.128734643,index,NA
51161,2020,"Roanoke County, Virginia",county,3sfca_capacity,0.560584396,index,NA
51163,2020,"Rockbridge County, Virginia",county,3sfca_capacity,0.051227927,index,NA
51165,2020,"Rockingham County, Virginia",county,3sfca_capacity,0,index,NA
51167,2020,"Russell County, Virginia",county,3sfca_capacity,0.016499465,index,NA
51169,2020,"Scott County, Virginia",county,3sfca_capacity,0.0317807,index,NA
51171,2020,"Shenandoah County, Virginia",county,3sfca_capacity,0.062976227,index,NA
51173,2020,"Smyth County, Virginia",county,3sfca_capacity,0.022747012,index,NA
51175,2020,"Southampton County, Virginia",county,3sfca_capacity,0,index,NA
51177,2020,"Spotsylvania County, Virginia",county,3sfca_capacity,0.122650736,index,NA
51179,2020,"Stafford County, Virginia",county,3sfca_capacity,0.123293648,index,NA
51181,2020,"Surry County, Virginia",county,3sfca_capacity,0.043267881,index,NA
51183,2020,"Sussex County, Virginia",county,3sfca_capacity,0.066770464,index,NA
51185,2020,"Tazewell County, Virginia",county,3sfca_capacity,0,index,NA
51187,2020,"Warren County, Virginia",county,3sfca_capacity,0.565286607,index,NA
51191,2020,"Washington County, Virginia",county,3sfca_capacity,0.276562466,index,NA
51193,2020,"Westmoreland County, Virginia",county,3sfca_capacity,0,index,NA
51195,2020,"Wise County, Virginia",county,3sfca_capacity,0.532705071,index,NA
51197,2020,"Wythe County, Virginia",county,3sfca_capacity,0.466114128,index,NA
51199,2020,"York County, Virginia",county,3sfca_capacity,0.024723335,index,NA
51510,2020,"Alexandria City, Virginia",county,3sfca_capacity,1.740890742,index,NA
51520,2020,"Bristol City, Virginia",county,3sfca_capacity,0.276562466,index,NA
51530,2020,"Buena Vista City, Virginia",county,3sfca_capacity,0.026501185,index,NA
51540,2020,"Charlottesville City, Virginia",county,3sfca_capacity,0.966811098,index,NA
51550,2020,"Chesapeake City, Virginia",county,3sfca_capacity,0.513043902,index,NA
51570,2020,"Colonial Heights City, Virginia",county,3sfca_capacity,0.591160557,index,NA
51580,2020,"Covington City, Virginia",county,3sfca_capacity,0.858677632,index,NA
51590,2020,"Danville City, Virginia",county,3sfca_capacity,1.479973703,index,NA
51595,2020,"Emporia City, Virginia",county,3sfca_capacity,0.074604658,index,NA
51600,2020,"Fairfax City, Virginia",county,3sfca_capacity,2.077412816,index,NA
51610,2020,"Falls Church City, Virginia",county,3sfca_capacity,2.077412816,index,NA
51620,2020,"Franklin City, Virginia",county,3sfca_capacity,0.005218221,index,NA
51630,2020,"Fredericksburg City, Virginia",county,3sfca_capacity,0.122650736,index,NA
51640,2020,"Galax City, Virginia",county,3sfca_capacity,0.080858011,index,NA
51650,2020,"Hampton City, Virginia",county,3sfca_capacity,0.637839279,index,NA
51660,2020,"Harrisonburg City, Virginia",county,3sfca_capacity,0,index,NA
51670,2020,"Hopewell City, Virginia",county,3sfca_capacity,0.591160557,index,NA
51678,2020,"Lexington City, Virginia",county,3sfca_capacity,0.051227927,index,NA
51680,2020,"Lynchburg City, Virginia",county,3sfca_capacity,0.029743058,index,NA
51683,2020,"Manassas City, Virginia",county,3sfca_capacity,0.12393656,index,NA
51685,2020,"Manassas Park City, Virginia",county,3sfca_capacity,0.12393656,index,NA
51690,2020,"Martinsville City, Virginia",county,3sfca_capacity,0.314927514,index,NA
51700,2020,"Newport News City, Virginia",county,3sfca_capacity,0.297036907,index,NA
51710,2020,"Norfolk City, Virginia",county,3sfca_capacity,3.785192411,index,NA
51720,2020,"Norton City, Virginia",county,3sfca_capacity,0.532705071,index,NA
51730,2020,"Petersburg City, Virginia",county,3sfca_capacity,0.703349165,index,NA
51735,2020,"Poquoson City, Virginia",county,3sfca_capacity,0.431635351,index,NA
51740,2020,"Portsmouth City, Virginia",county,3sfca_capacity,2.322863017,index,NA
51750,2020,"Radford City, Virginia",county,3sfca_capacity,0.978909863,index,NA
51760,2020,"Richmond City, Virginia",county,3sfca_capacity,0.318585215,index,NA
51770,2020,"Roanoke City, Virginia",county,3sfca_capacity,0.769201169,index,NA
51775,2020,"Salem City, Virginia",county,3sfca_capacity,0.608165722,index,NA
51790,2020,"Staunton City, Virginia",county,3sfca_capacity,0.042210048,index,NA
51800,2020,"Suffolk City, Virginia",county,3sfca_capacity,0.167087316,index,NA
51810,2020,"Virginia Beach City, Virginia",county,3sfca_capacity,4.686186512,index,NA
51820,2020,"Waynesboro City, Virginia",county,3sfca_capacity,0.042210048,index,NA
51830,2020,"Williamsburg City, Virginia",county,3sfca_capacity,0.015611158,index,NA
51840,2020,"Winchester City, Virginia",county,3sfca_capacity,1.055601515,index,NA
51001,2020,"Accomack County, Virginia",county,2sfca30_capacity,0,index,NA
51003,2020,"Albemarle County, Virginia",county,2sfca30_capacity,0.000528436,index,NA
51005,2020,"Alleghany County, Virginia",county,2sfca30_capacity,0.000694163,index,NA
51007,2020,"Amelia County, Virginia",county,2sfca30_capacity,0,index,NA
51009,2020,"Amherst County, Virginia",county,2sfca30_capacity,0,index,NA
51011,2020,"Appomattox County, Virginia",county,2sfca30_capacity,0,index,NA
51013,2020,"Arlington County, Virginia",county,2sfca30_capacity,0.00183878,index,NA
51015,2020,"Augusta County, Virginia",county,2sfca30_capacity,0,index,NA
51017,2020,"Bath County, Virginia",county,2sfca30_capacity,0,index,NA
51019,2020,"Bedford County, Virginia",county,2sfca30_capacity,0,index,NA
51021,2020,"Bland County, Virginia",county,2sfca30_capacity,0.000126056,index,NA
51023,2020,"Botetourt County, Virginia",county,2sfca30_capacity,0,index,NA
51025,2020,"Brunswick County, Virginia",county,2sfca30_capacity,0.002699055,index,NA
51027,2020,"Buchanan County, Virginia",county,2sfca30_capacity,0,index,NA
51029,2020,"Buckingham County, Virginia",county,2sfca30_capacity,0,index,NA
51031,2020,"Campbell County, Virginia",county,2sfca30_capacity,7.93E-06,index,NA
51033,2020,"Caroline County, Virginia",county,2sfca30_capacity,0,index,NA
51035,2020,"Carroll County, Virginia",county,2sfca30_capacity,0,index,NA
51036,2020,"Charles City County, Virginia",county,2sfca30_capacity,0,index,NA
51037,2020,"Charlotte County, Virginia",county,2sfca30_capacity,0,index,NA
51041,2020,"Chesterfield County, Virginia",county,2sfca30_capacity,0,index,NA
51043,2020,"Clarke County, Virginia",county,2sfca30_capacity,0,index,NA
51045,2020,"Craig County, Virginia",county,2sfca30_capacity,0,index,NA
51047,2020,"Culpeper County, Virginia",county,2sfca30_capacity,0.001248627,index,NA
51049,2020,"Cumberland County, Virginia",county,2sfca30_capacity,0,index,NA
51051,2020,"Dickenson County, Virginia",county,2sfca30_capacity,0,index,NA
51053,2020,"Dinwiddie County, Virginia",county,2sfca30_capacity,0,index,NA
51057,2020,"Essex County, Virginia",county,2sfca30_capacity,0,index,NA
51059,2020,"Fairfax County, Virginia",county,2sfca30_capacity,0.001649494,index,NA
51061,2020,"Fauquier County, Virginia",county,2sfca30_capacity,0,index,NA
51063,2020,"Floyd County, Virginia",county,2sfca30_capacity,0,index,NA
51065,2020,"Fluvanna County, Virginia",county,2sfca30_capacity,0,index,NA
51067,2020,"Franklin County, Virginia",county,2sfca30_capacity,0,index,NA
51069,2020,"Frederick County, Virginia",county,2sfca30_capacity,0.000353324,index,NA
51071,2020,"Giles County, Virginia",county,2sfca30_capacity,0,index,NA
51073,2020,"Gloucester County, Virginia",county,2sfca30_capacity,0.001601962,index,NA
51075,2020,"Goochland County, Virginia",county,2sfca30_capacity,0,index,NA
51077,2020,"Grayson County, Virginia",county,2sfca30_capacity,0,index,NA
51079,2020,"Greene County, Virginia",county,2sfca30_capacity,0,index,NA
51081,2020,"Greensville County, Virginia",county,2sfca30_capacity,0,index,NA
51083,2020,"Halifax County, Virginia",county,2sfca30_capacity,0,index,NA
51085,2020,"Hanover County, Virginia",county,2sfca30_capacity,0.00031988,index,NA
51087,2020,"Henrico County, Virginia",county,2sfca30_capacity,0.000228003,index,NA
51089,2020,"Henry County, Virginia",county,2sfca30_capacity,0.000228598,index,NA
51091,2020,"Highland County, Virginia",county,2sfca30_capacity,0,index,NA
51093,2020,"Isle Of Wight County, Virginia",county,2sfca30_capacity,0,index,NA
51095,2020,"James City County, Virginia",county,2sfca30_capacity,0,index,NA
51097,2020,"King And Queen County, Virginia",county,2sfca30_capacity,0,index,NA
51099,2020,"King George County, Virginia",county,2sfca30_capacity,0,index,NA
51101,2020,"King William County, Virginia",county,2sfca30_capacity,0,index,NA
51103,2020,"Lancaster County, Virginia",county,2sfca30_capacity,0,index,NA
51105,2020,"Lee County, Virginia",county,2sfca30_capacity,0,index,NA
51107,2020,"Loudoun County, Virginia",county,2sfca30_capacity,0,index,NA
51109,2020,"Louisa County, Virginia",county,2sfca30_capacity,0,index,NA
51111,2020,"Lunenburg County, Virginia",county,2sfca30_capacity,0,index,NA
51113,2020,"Madison County, Virginia",county,2sfca30_capacity,0,index,NA
51115,2020,"Mathews County, Virginia",county,2sfca30_capacity,0,index,NA
51117,2020,"Mecklenburg County, Virginia",county,2sfca30_capacity,0,index,NA
51119,2020,"Middlesex County, Virginia",county,2sfca30_capacity,0.001601962,index,NA
51121,2020,"Montgomery County, Virginia",county,2sfca30_capacity,0,index,NA
51125,2020,"Nelson County, Virginia",county,2sfca30_capacity,0,index,NA
51127,2020,"New Kent County, Virginia",county,2sfca30_capacity,0,index,NA
51131,2020,"Northampton County, Virginia",county,2sfca30_capacity,0,index,NA
51133,2020,"Northumberland County, Virginia",county,2sfca30_capacity,0,index,NA
51135,2020,"Nottoway County, Virginia",county,2sfca30_capacity,0,index,NA
51137,2020,"Orange County, Virginia",county,2sfca30_capacity,0,index,NA
51139,2020,"Page County, Virginia",county,2sfca30_capacity,0,index,NA
51141,2020,"Patrick County, Virginia",county,2sfca30_capacity,0,index,NA
51143,2020,"Pittsylvania County, Virginia",county,2sfca30_capacity,0.000287887,index,NA
51145,2020,"Powhatan County, Virginia",county,2sfca30_capacity,0,index,NA
51147,2020,"Prince Edward County, Virginia",county,2sfca30_capacity,0,index,NA
51149,2020,"Prince George County, Virginia",county,2sfca30_capacity,0,index,NA
