geoid,region_type,year,region_name,year,measure,value,measure_type,measure_units
1,health district,2020,Alexandria,2021,perc_income_avg_nat_package,0.80776908,percent,NA
1,health district,2020,Alexandria,2021,perc_income_med_price_100,0.556067403,percent,NA
1,health district,2020,Alexandria,2021,perc_income_min_price_25,0.367350936,percent,NA
1,health district,2020,Alexandria,2021,perc_income_min_price_100_plus,0.489842078,percent,NA
1,health district,2020,Alexandria,2021,perc_income_med_price_25,1.046441191,percent,NA
1,health district,2020,Alexandria,2021,perc_income_min_price_100,0.498719202,percent,NA
2,health district,2020,Alleghany,2021,perc_income_avg_nat_package,1.214436231,percent,NA
2,health district,2020,Alleghany,2021,perc_income_med_price_100,2.800583784,percent,NA
2,health district,2020,Alleghany,2021,perc_income_min_price_25,0.659043429,percent,NA
2,health district,2020,Alleghany,2021,perc_income_med_price_25,1.728382431,percent,NA
2,health district,2020,Alleghany,2021,perc_income_min_price_100_plus,1.08765721,percent,NA
2,health district,2020,Alleghany,2021,perc_income_min_price_100,2.746529144,percent,NA
3,health district,2020,Arlington,2021,perc_income_med_price_25,0.915903456,percent,NA
3,health district,2020,Arlington,2021,perc_income_med_price_100,0.44841043,percent,NA
3,health district,2020,Arlington,2021,perc_income_min_price_100,0.429183209,percent,NA
3,health district,2020,Arlington,2021,perc_income_avg_nat_package,0.681706044,percent,NA
3,health district,2020,Arlington,2021,perc_income_min_price_25,0.318998393,percent,NA
3,health district,2020,Arlington,2021,perc_income_min_price_100_plus,0.425366647,percent,NA
4,health district,2020,Central Shenandoah,2021,perc_income_avg_nat_package,1.458247682,percent,NA
4,health district,2020,Central Shenandoah,2021,perc_income_min_price_100_plus,0.885821826,percent,NA
4,health district,2020,Central Shenandoah,2021,perc_income_med_price_25,1.670599948,percent,NA
4,health district,2020,Central Shenandoah,2021,perc_income_med_price_100,1.24712684,percent,NA
4,health district,2020,Central Shenandoah,2021,perc_income_min_price_25,0.691711393,percent,NA
4,health district,2020,Central Shenandoah,2021,perc_income_min_price_100,1.216195713,percent,NA
5,health district,2020,Central Virginia,2021,perc_income_min_price_25,0.970673194,percent,NA
5,health district,2020,Central Virginia,2021,perc_income_med_price_25,2.053240071,percent,NA
5,health district,2020,Central Virginia,2021,perc_income_med_price_100,1.225148421,percent,NA
5,health district,2020,Central Virginia,2021,perc_income_min_price_100_plus,0.999637595,percent,NA
5,health district,2020,Central Virginia,2021,perc_income_min_price_100,1.11342193,percent,NA
5,health district,2020,Central Virginia,2021,perc_income_avg_nat_package,1.489365887,percent,NA
6,health district,2020,Chesapeake,2021,perc_income_med_price_100,2.410365531,percent,NA
