"geoid","region_name","region_type","measure","value","year","measure_type","measure_units"
51001,"Accomack, VA","county","earnings_per_job",41695.0441200955,2015,"ratio","dollars"
51007,"Amelia, VA","county","earnings_per_job",42710.5083200365,2015,"ratio","dollars"
51009,"Amherst, VA","county","earnings_per_job",39309.5489638358,2015,"ratio","dollars"
51011,"Appomattox, VA","county","earnings_per_job",31056.743101438,2015,"ratio","dollars"
51013,"Arlington, VA","county","earnings_per_job",96116.9796680666,2015,"ratio","dollars"
51017,"Bath, VA","county","earnings_per_job",41499.0409207161,2015,"ratio","dollars"
51019,"Bedford, VA*","county","earnings_per_job",37382.5052438385,2015,"ratio","dollars"
51021,"Bland, VA","county","earnings_per_job",44895.1949860724,2015,"ratio","dollars"
51023,"Botetourt, VA","county","earnings_per_job",40572.1882478064,2015,"ratio","dollars"
51025,"Brunswick, VA","county","earnings_per_job",36089.2794987818,2015,"ratio","dollars"
51027,"Buchanan, VA","county","earnings_per_job",52376.2226362366,2015,"ratio","dollars"
51029,"Buckingham, VA","county","earnings_per_job",40275.5762232107,2015,"ratio","dollars"
51033,"Caroline, VA","county","earnings_per_job",37635.3375055878,2015,"ratio","dollars"
51036,"Charles City, VA","county","earnings_per_job",46603.4840315222,2015,"ratio","dollars"
51037,"Charlotte, VA","county","earnings_per_job",32289.9384798571,2015,"ratio","dollars"
51041,"Chesterfield, VA","county","earnings_per_job",48474.9614174056,2015,"ratio","dollars"
51043,"Clarke, VA","county","earnings_per_job",38654.693419391,2015,"ratio","dollars"
51045,"Craig, VA","county","earnings_per_job",30233.7662337662,2015,"ratio","dollars"
51047,"Culpeper, VA","county","earnings_per_job",42596.8714424253,2015,"ratio","dollars"
51049,"Cumberland, VA","county","earnings_per_job",36985.0286217525,2015,"ratio","dollars"
51051,"Dickenson, VA","county","earnings_per_job",45669.375534645,2015,"ratio","dollars"
51057,"Essex, VA","county","earnings_per_job",33687.7878062258,2015,"ratio","dollars"
51061,"Fauquier, VA","county","earnings_per_job",47080.6346323049,2015,"ratio","dollars"
51063,"Floyd, VA","county","earnings_per_job",27192.210419828,2015,"ratio","dollars"
51065,"Fluvanna, VA","county","earnings_per_job",36222.461928934,2015,"ratio","dollars"
51067,"Franklin, VA","county","earnings_per_job",35005.3533190578,2015,"ratio","dollars"
51071,"Giles, VA","county","earnings_per_job",42062.353286385,2015,"ratio","dollars"
51073,"Gloucester, VA","county","earnings_per_job",34692.8123422969,2015,"ratio","dollars"
51075,"Goochland, VA","county","earnings_per_job",87003.7279133899,2015,"ratio","dollars"
51077,"Grayson, VA","county","earnings_per_job",27855.6998556999,2015,"ratio","dollars"
51079,"Greene, VA","county","earnings_per_job",37459.6935376416,2015,"ratio","dollars"
51083,"Halifax, VA","county","earnings_per_job",39128.459814669,2015,"ratio","dollars"
51085,"Hanover, VA","county","earnings_per_job",47606.8769939738,2015,"ratio","dollars"
51087,"Henrico, VA","county","earnings_per_job",67190.282886706,2015,"ratio","dollars"
51091,"Highland, VA","county","earnings_per_job",24774.5620715918,2015,"ratio","dollars"
51093,"Isle of Wight, VA","county","earnings_per_job",44964.3725214277,2015,"ratio","dollars"
51097,"King and Queen, VA","county","earnings_per_job",37046.7339352098,2015,"ratio","dollars"
51099,"King George, VA","county","earnings_per_job",91223.1902095001,2015,"ratio","dollars"
51101,"King William, VA","county","earnings_per_job",43681.6050026055,2015,"ratio","dollars"
51103,"Lancaster, VA","county","earnings_per_job",35656.5040650407,2015,"ratio","dollars"
51105,"Lee, VA","county","earnings_per_job",32904.7163362953,2015,"ratio","dollars"
51107,"Loudoun, VA","county","earnings_per_job",62968.6693429498,2015,"ratio","dollars"
51109,"Louisa, VA","county","earnings_per_job",49169.2715801549,2015,"ratio","dollars"
51111,"Lunenburg, VA","county","earnings_per_job",34676.6666666667,2015,"ratio","dollars"
51113,"Madison, VA","county","earnings_per_job",45110.8695652174,2015,"ratio","dollars"
51115,"Mathews, VA","county","earnings_per_job",30770.1421800948,2015,"ratio","dollars"
51117,"Mecklenburg, VA","county","earnings_per_job",35821.1861718998,2015,"ratio","dollars"
51119,"Middlesex, VA","county","earnings_per_job",35663.9955273947,2015,"ratio","dollars"
51125,"Nelson, VA","county","earnings_per_job",32768.641905302,2015,"ratio","dollars"
51127,"New Kent, VA","county","earnings_per_job",34388.2928154285,2015,"ratio","dollars"
51131,"Northampton, VA","county","earnings_per_job",38482.7782522061,2015,"ratio","dollars"
51133,"Northumberland, VA","county","earnings_per_job",34272.9133500114,2015,"ratio","dollars"
51135,"Nottoway, VA","county","earnings_per_job",41763.6713735558,2015,"ratio","dollars"
51137,"Orange, VA","county","earnings_per_job",37594.5550758947,2015,"ratio","dollars"
51139,"Page, VA","county","earnings_per_job",36728.790304139,2015,"ratio","dollars"
51141,"Patrick, VA","county","earnings_per_job",31562.131727118,2015,"ratio","dollars"
51145,"Powhatan, VA","county","earnings_per_job",39762.1934908605,2015,"ratio","dollars"
51147,"Prince Edward, VA","county","earnings_per_job",39591.6800270019,2015,"ratio","dollars"
51155,"Pulaski, VA","county","earnings_per_job",44820.2511323892,2015,"ratio","dollars"
51157,"Rappahannock, VA","county","earnings_per_job",42206.6378066378,2015,"ratio","dollars"
51159,"Richmond, VA","county","earnings_per_job",39216.1897774517,2015,"ratio","dollars"
51167,"Russell, VA","county","earnings_per_job",40441.9380149078,2015,"ratio","dollars"
51169,"Scott, VA","county","earnings_per_job",30575.1467211023,2015,"ratio","dollars"
51171,"Shenandoah, VA","county","earnings_per_job",37992.4047004872,2015,"ratio","dollars"
51173,"Smyth, VA","county","earnings_per_job",41722.6806701675,2015,"ratio","dollars"
51179,"Stafford, VA","county","earnings_per_job",52190.8471603939,2015,"ratio","dollars"
51181,"Surry, VA","county","earnings_per_job",82588.8491353608,2015,"ratio","dollars"
51183,"Sussex, VA","county","earnings_per_job",41610.2657739907,2015,"ratio","dollars"
51185,"Tazewell, VA","county","earnings_per_job",39386.6745984533,2015,"ratio","dollars"
