"geoid","region_name","region_type","measure","value","year","measure_type","measure_units"
51187,"Warren, VA","county","earnings_per_job",40544.5733079453,2015,"ratio","dollars"
51193,"Westmoreland, VA","county","earnings_per_job",29788.8607594937,2015,"ratio","dollars"
51197,"Wythe, VA","county","earnings_per_job",37329.286122942,2015,"ratio","dollars"
51510,"Alexandria (Independent City), VA","county","earnings_per_job",80550.1189744559,2015,"ratio","dollars"
51550,"Chesapeake (Independent City), VA","county","earnings_per_job",45976.5440035121,2015,"ratio","dollars"
51650,"Hampton (Independent City), VA","county","earnings_per_job",55541.3219864154,2015,"ratio","dollars"
51700,"Newport News (Independent City), VA","county","earnings_per_job",62758.2694529035,2015,"ratio","dollars"
51710,"Norfolk (Independent City), VA","county","earnings_per_job",67770.0095041303,2015,"ratio","dollars"
51740,"Portsmouth (Independent City), VA","county","earnings_per_job",64723.564454741,2015,"ratio","dollars"
51760,"Richmond (Independent City), VA","county","earnings_per_job",69816.3174272186,2015,"ratio","dollars"
51770,"Roanoke (Independent City), VA","county","earnings_per_job",54594.5737004859,2015,"ratio","dollars"
51800,"Suffolk (Independent City), VA","county","earnings_per_job",51001.6368260683,2015,"ratio","dollars"
51810,"Virginia Beach (Independent City), VA","county","earnings_per_job",49942.7754606513,2015,"ratio","dollars"
51001,"Accomack, VA","county","earnings_per_job",45454.0618955513,2016,"ratio","dollars"
51007,"Amelia, VA","county","earnings_per_job",37269.5533892541,2016,"ratio","dollars"
51009,"Amherst, VA","county","earnings_per_job",38751.2347711557,2016,"ratio","dollars"
51011,"Appomattox, VA","county","earnings_per_job",30391.008689082,2016,"ratio","dollars"
51013,"Arlington, VA","county","earnings_per_job",96956.3398497299,2016,"ratio","dollars"
51017,"Bath, VA","county","earnings_per_job",42771.9922380336,2016,"ratio","dollars"
51019,"Bedford, VA*","county","earnings_per_job",36803.5298363022,2016,"ratio","dollars"
51021,"Bland, VA","county","earnings_per_job",44404.8209854661,2016,"ratio","dollars"
51023,"Botetourt, VA","county","earnings_per_job",39962.0608593444,2016,"ratio","dollars"
51025,"Brunswick, VA","county","earnings_per_job",36369.3397856896,2016,"ratio","dollars"
51027,"Buchanan, VA","county","earnings_per_job",48123.5408560311,2016,"ratio","dollars"
51029,"Buckingham, VA","county","earnings_per_job",39012.6213592233,2016,"ratio","dollars"
51033,"Caroline, VA","county","earnings_per_job",37719.7258187357,2016,"ratio","dollars"
51036,"Charles City, VA","county","earnings_per_job",42940.3100775194,2016,"ratio","dollars"
51037,"Charlotte, VA","county","earnings_per_job",33129.3052548711,2016,"ratio","dollars"
51041,"Chesterfield, VA","county","earnings_per_job",48500.5313553608,2016,"ratio","dollars"
51043,"Clarke, VA","county","earnings_per_job",39134.9103942652,2016,"ratio","dollars"
51045,"Craig, VA","county","earnings_per_job",29071.2773465067,2016,"ratio","dollars"
51047,"Culpeper, VA","county","earnings_per_job",44531.9608097026,2016,"ratio","dollars"
51049,"Cumberland, VA","county","earnings_per_job",33339.4675019577,2016,"ratio","dollars"
51051,"Dickenson, VA","county","earnings_per_job",43181.4249943091,2016,"ratio","dollars"
51057,"Essex, VA","county","earnings_per_job",34122.1958781689,2016,"ratio","dollars"
51061,"Fauquier, VA","county","earnings_per_job",47190.8194548016,2016,"ratio","dollars"
51063,"Floyd, VA","county","earnings_per_job",26411.9579500657,2016,"ratio","dollars"
51065,"Fluvanna, VA","county","earnings_per_job",36350.449973531,2016,"ratio","dollars"
51067,"Franklin, VA","county","earnings_per_job",34837.2914275625,2016,"ratio","dollars"
51071,"Giles, VA","county","earnings_per_job",41449.4432071269,2016,"ratio","dollars"
51073,"Gloucester, VA","county","earnings_per_job",35387.615170345,2016,"ratio","dollars"
51075,"Goochland, VA","county","earnings_per_job",85010.5802212667,2016,"ratio","dollars"
51077,"Grayson, VA","county","earnings_per_job",26198.6055776892,2016,"ratio","dollars"
51079,"Greene, VA","county","earnings_per_job",38383.5267928128,2016,"ratio","dollars"
51083,"Halifax, VA","county","earnings_per_job",39899.4082840237,2016,"ratio","dollars"
51085,"Hanover, VA","county","earnings_per_job",47418.0260600389,2016,"ratio","dollars"
51087,"Henrico, VA","county","earnings_per_job",68062.6440436313,2016,"ratio","dollars"
51091,"Highland, VA","county","earnings_per_job",23169.8841698842,2016,"ratio","dollars"
51093,"Isle of Wight, VA","county","earnings_per_job",44451.7455097394,2016,"ratio","dollars"
51097,"King and Queen, VA","county","earnings_per_job",36779.8841495524,2016,"ratio","dollars"
51099,"King George, VA","county","earnings_per_job",85810.6974305191,2016,"ratio","dollars"
51101,"King William, VA","county","earnings_per_job",42390.8924713312,2016,"ratio","dollars"
51103,"Lancaster, VA","county","earnings_per_job",37258.855981417,2016,"ratio","dollars"
51105,"Lee, VA","county","earnings_per_job",33321.9970072099,2016,"ratio","dollars"
51107,"Loudoun, VA","county","earnings_per_job",62798.9273219211,2016,"ratio","dollars"
51109,"Louisa, VA","county","earnings_per_job",48576.6449488079,2016,"ratio","dollars"
51111,"Lunenburg, VA","county","earnings_per_job",34032.3544051767,2016,"ratio","dollars"
51113,"Madison, VA","county","earnings_per_job",41779.6104579751,2016,"ratio","dollars"
51115,"Mathews, VA","county","earnings_per_job",30907.5995982591,2016,"ratio","dollars"
51117,"Mecklenburg, VA","county","earnings_per_job",36651.0853557021,2016,"ratio","dollars"
51119,"Middlesex, VA","county","earnings_per_job",36620.4242538014,2016,"ratio","dollars"
51125,"Nelson, VA","county","earnings_per_job",34693.8925680648,2016,"ratio","dollars"
51127,"New Kent, VA","county","earnings_per_job",35728.9029535865,2016,"ratio","dollars"
51131,"Northampton, VA","county","earnings_per_job",38714.1009055627,2016,"ratio","dollars"
51133,"Northumberland, VA","county","earnings_per_job",34762.9025143361,2016,"ratio","dollars"
51135,"Nottoway, VA","county","earnings_per_job",42039.8142003981,2016,"ratio","dollars"
51137,"Orange, VA","county","earnings_per_job",39059.350200095,2016,"ratio","dollars"
51139,"Page, VA","county","earnings_per_job",36153.8287524036,2016,"ratio","dollars"
51141,"Patrick, VA","county","earnings_per_job",31418.5891452194,2016,"ratio","dollars"
51145,"Powhatan, VA","county","earnings_per_job",39654.9901985852,2016,"ratio","dollars"
51147,"Prince Edward, VA","county","earnings_per_job",40585.1294903926,2016,"ratio","dollars"
51155,"Pulaski, VA","county","earnings_per_job",42668.21824181,2016,"ratio","dollars"
51157,"Rappahannock, VA","county","earnings_per_job",38092.2174840085,2016,"ratio","dollars"
51159,"Richmond, VA","county","earnings_per_job",40073.3656174334,2016,"ratio","dollars"
51167,"Russell, VA","county","earnings_per_job",40430.6590819929,2016,"ratio","dollars"
51169,"Scott, VA","county","earnings_per_job",30178.0070523704,2016,"ratio","dollars"
51171,"Shenandoah, VA","county","earnings_per_job",38683.0516658619,2016,"ratio","dollars"
51173,"Smyth, VA","county","earnings_per_job",40660.9087038501,2016,"ratio","dollars"
51179,"Stafford, VA","county","earnings_per_job",52164.2947216718,2016,"ratio","dollars"
51181,"Surry, VA","county","earnings_per_job",76619.7623514697,2016,"ratio","dollars"
51183,"Sussex, VA","county","earnings_per_job",41359.0326581232,2016,"ratio","dollars"
51185,"Tazewell, VA","county","earnings_per_job",37988.2965559909,2016,"ratio","dollars"
51187,"Warren, VA","county","earnings_per_job",40423.54696196,2016,"ratio","dollars"
51193,"Westmoreland, VA","county","earnings_per_job",31241.0509031199,2016,"ratio","dollars"
51197,"Wythe, VA","county","earnings_per_job",37322.7775658146,2016,"ratio","dollars"
51510,"Alexandria (Independent City), VA","county","earnings_per_job",81149.6320201503,2016,"ratio","dollars"
51550,"Chesapeake (Independent City), VA","county","earnings_per_job",45944.5504191985,2016,"ratio","dollars"
51650,"Hampton (Independent City), VA","county","earnings_per_job",56010.5044775335,2016,"ratio","dollars"
51700,"Newport News (Independent City), VA","county","earnings_per_job",61226.740951633,2016,"ratio","dollars"
51710,"Norfolk (Independent City), VA","county","earnings_per_job",67151.3098053484,2016,"ratio","dollars"
51740,"Portsmouth (Independent City), VA","county","earnings_per_job",64844.5408532176,2016,"ratio","dollars"
51760,"Richmond (Independent City), VA","county","earnings_per_job",69031.923247812,2016,"ratio","dollars"
51770,"Roanoke (Independent City), VA","county","earnings_per_job",55557.1346522796,2016,"ratio","dollars"
51800,"Suffolk (Independent City), VA","county","earnings_per_job",50481.2428858589,2016,"ratio","dollars"
51810,"Virginia Beach (Independent City), VA","county","earnings_per_job",49950.4454092056,2016,"ratio","dollars"
51001,"Accomack, VA","county","earnings_per_job",50938.4297520661,2017,"ratio","dollars"
51007,"Amelia, VA","county","earnings_per_job",37265.7558395769,2017,"ratio","dollars"
51009,"Amherst, VA","county","earnings_per_job",39161.3638281712,2017,"ratio","dollars"
51011,"Appomattox, VA","county","earnings_per_job",31061.091450922,2017,"ratio","dollars"
51013,"Arlington, VA","county","earnings_per_job",99020.8105054102,2017,"ratio","dollars"
51017,"Bath, VA","county","earnings_per_job",43917.8396072013,2017,"ratio","dollars"
51019,"Bedford, VA*","county","earnings_per_job",37015.3670099722,2017,"ratio","dollars"
51021,"Bland, VA","county","earnings_per_job",46333.569907736,2017,"ratio","dollars"
51023,"Botetourt, VA","county","earnings_per_job",41791.0028728127,2017,"ratio","dollars"
51025,"Brunswick, VA","county","earnings_per_job",37832.1422026755,2017,"ratio","dollars"
51027,"Buchanan, VA","county","earnings_per_job",51789.5114942529,2017,"ratio","dollars"
51029,"Buckingham, VA","county","earnings_per_job",39533.9445961764,2017,"ratio","dollars"
51033,"Caroline, VA","county","earnings_per_job",38499.8947146768,2017,"ratio","dollars"
51036,"Charles City, VA","county","earnings_per_job",44524.5901639344,2017,"ratio","dollars"
51037,"Charlotte, VA","county","earnings_per_job",33621.0820523059,2017,"ratio","dollars"
51041,"Chesterfield, VA","county","earnings_per_job",50012.3060460139,2017,"ratio","dollars"
51043,"Clarke, VA","county","earnings_per_job",41392.0157991254,2017,"ratio","dollars"
51045,"Craig, VA","county","earnings_per_job",30009.1036414566,2017,"ratio","dollars"
51047,"Culpeper, VA","county","earnings_per_job",45258.9489718203,2017,"ratio","dollars"
51049,"Cumberland, VA","county","earnings_per_job",36136.5399534523,2017,"ratio","dollars"
51051,"Dickenson, VA","county","earnings_per_job",44721.3793103448,2017,"ratio","dollars"
51057,"Essex, VA","county","earnings_per_job",35655.281232597,2017,"ratio","dollars"
51061,"Fauquier, VA","county","earnings_per_job",48811.5544084132,2017,"ratio","dollars"
51063,"Floyd, VA","county","earnings_per_job",27443.651694503,2017,"ratio","dollars"
51065,"Fluvanna, VA","county","earnings_per_job",38050.676119207,2017,"ratio","dollars"
51067,"Franklin, VA","county","earnings_per_job",36041.0361519341,2017,"ratio","dollars"
51071,"Giles, VA","county","earnings_per_job",41905.6145675266,2017,"ratio","dollars"
51073,"Gloucester, VA","county","earnings_per_job",36563.055062167,2017,"ratio","dollars"
51075,"Goochland, VA","county","earnings_per_job",94924.5440237015,2017,"ratio","dollars"
51077,"Grayson, VA","county","earnings_per_job",27249.0325077399,2017,"ratio","dollars"
51079,"Greene, VA","county","earnings_per_job",38648.992248062,2017,"ratio","dollars"
51083,"Halifax, VA","county","earnings_per_job",41047.0487596236,2017,"ratio","dollars"
51085,"Hanover, VA","county","earnings_per_job",48540.0809141884,2017,"ratio","dollars"
51087,"Henrico, VA","county","earnings_per_job",69855.4254970094,2017,"ratio","dollars"
51091,"Highland, VA","county","earnings_per_job",25570.8598726115,2017,"ratio","dollars"
51093,"Isle of Wight, VA","county","earnings_per_job",45962.656122513,2017,"ratio","dollars"
51097,"King and Queen, VA","county","earnings_per_job",37268.5512367491,2017,"ratio","dollars"
51099,"King George, VA","county","earnings_per_job",88593.9000648929,2017,"ratio","dollars"
51101,"King William, VA","county","earnings_per_job",43039.9350649351,2017,"ratio","dollars"
51103,"Lancaster, VA","county","earnings_per_job",38562.2827346466,2017,"ratio","dollars"
51105,"Lee, VA","county","earnings_per_job",34294.8681996635,2017,"ratio","dollars"
51107,"Loudoun, VA","county","earnings_per_job",64011.7739734106,2017,"ratio","dollars"
51109,"Louisa, VA","county","earnings_per_job",48948.8728951657,2017,"ratio","dollars"
51111,"Lunenburg, VA","county","earnings_per_job",34311.8908382066,2017,"ratio","dollars"
51113,"Madison, VA","county","earnings_per_job",36928.4722222222,2017,"ratio","dollars"
51115,"Mathews, VA","county","earnings_per_job",31266.4002664003,2017,"ratio","dollars"
51117,"Mecklenburg, VA","county","earnings_per_job",38161.6365292052,2017,"ratio","dollars"
51119,"Middlesex, VA","county","earnings_per_job",38549.4706097116,2017,"ratio","dollars"
51125,"Nelson, VA","county","earnings_per_job",35774.0045078888,2017,"ratio","dollars"
51127,"New Kent, VA","county","earnings_per_job",36110.3778467909,2017,"ratio","dollars"
51131,"Northampton, VA","county","earnings_per_job",39625.8034894399,2017,"ratio","dollars"
51133,"Northumberland, VA","county","earnings_per_job",37739.334375698,2017,"ratio","dollars"
51135,"Nottoway, VA","county","earnings_per_job",42932.2285098356,2017,"ratio","dollars"
51137,"Orange, VA","county","earnings_per_job",40413.600591915,2017,"ratio","dollars"
51139,"Page, VA","county","earnings_per_job",37723.7305464046,2017,"ratio","dollars"
51141,"Patrick, VA","county","earnings_per_job",32493.5082499324,2017,"ratio","dollars"
51145,"Powhatan, VA","county","earnings_per_job",39891.3597012392,2017,"ratio","dollars"
51147,"Prince Edward, VA","county","earnings_per_job",41430.0800264005,2017,"ratio","dollars"
51155,"Pulaski, VA","county","earnings_per_job",44792.6272814601,2017,"ratio","dollars"
51157,"Rappahannock, VA","county","earnings_per_job",40443.1757833245,2017,"ratio","dollars"
51159,"Richmond, VA","county","earnings_per_job",40724.1795366795,2017,"ratio","dollars"
51167,"Russell, VA","county","earnings_per_job",41879.5906080674,2017,"ratio","dollars"
51169,"Scott, VA","county","earnings_per_job",32144.1964875215,2017,"ratio","dollars"
51171,"Shenandoah, VA","county","earnings_per_job",40129.6323421708,2017,"ratio","dollars"
51173,"Smyth, VA","county","earnings_per_job",40815.3653182816,2017,"ratio","dollars"
51179,"Stafford, VA","county","earnings_per_job",53107.1547632277,2017,"ratio","dollars"
51181,"Surry, VA","county","earnings_per_job",77744.5054945055,2017,"ratio","dollars"
51183,"Sussex, VA","county","earnings_per_job",43123.9651878582,2017,"ratio","dollars"
51185,"Tazewell, VA","county","earnings_per_job",41832.5447438799,2017,"ratio","dollars"
51187,"Warren, VA","county","earnings_per_job",41269.4163860831,2017,"ratio","dollars"
51193,"Westmoreland, VA","county","earnings_per_job",32532.524987711,2017,"ratio","dollars"
51197,"Wythe, VA","county","earnings_per_job",39067.9992287422,2017,"ratio","dollars"
51510,"Alexandria (Independent City), VA","county","earnings_per_job",81677.8885464495,2017,"ratio","dollars"
51550,"Chesapeake (Independent City), VA","county","earnings_per_job",47017.6174433698,2017,"ratio","dollars"
51650,"Hampton (Independent City), VA","county","earnings_per_job",58074.5773260035,2017,"ratio","dollars"
51700,"Newport News (Independent City), VA","county","earnings_per_job",62083.0962094919,2017,"ratio","dollars"
51710,"Norfolk (Independent City), VA","county","earnings_per_job",67293.7348380483,2017,"ratio","dollars"
51740,"Portsmouth (Independent City), VA","county","earnings_per_job",67136.9560196641,2017,"ratio","dollars"
51760,"Richmond (Independent City), VA","county","earnings_per_job",70084.3335599274,2017,"ratio","dollars"
51770,"Roanoke (Independent City), VA","county","earnings_per_job",55627.0675024939,2017,"ratio","dollars"
51800,"Suffolk (Independent City), VA","county","earnings_per_job",50867.8918412736,2017,"ratio","dollars"
51810,"Virginia Beach (Independent City), VA","county","earnings_per_job",50758.9325698344,2017,"ratio","dollars"
51001,"Accomack, VA","county","earnings_per_job",52714.5299145299,2018,"ratio","dollars"
51007,"Amelia, VA","county","earnings_per_job",35617.0906718852,2018,"ratio","dollars"
51009,"Amherst, VA","county","earnings_per_job",40362.1014741172,2018,"ratio","dollars"
51011,"Appomattox, VA","county","earnings_per_job",31347.8985373079,2018,"ratio","dollars"
51013,"Arlington, VA","county","earnings_per_job",103049.895225928,2018,"ratio","dollars"
51017,"Bath, VA","county","earnings_per_job",42511.389897656,2018,"ratio","dollars"
51019,"Bedford, VA*","county","earnings_per_job",37421.7218627891,2018,"ratio","dollars"
51021,"Bland, VA","county","earnings_per_job",47747.5558659218,2018,"ratio","dollars"
51023,"Botetourt, VA","county","earnings_per_job",43094.3882360334,2018,"ratio","dollars"
51025,"Brunswick, VA","county","earnings_per_job",35386.2748744653,2018,"ratio","dollars"
51027,"Buchanan, VA","county","earnings_per_job",54093.2082640703,2018,"ratio","dollars"
51029,"Buckingham, VA","county","earnings_per_job",39645.5353691535,2018,"ratio","dollars"
51033,"Caroline, VA","county","earnings_per_job",38521.3737289894,2018,"ratio","dollars"
51036,"Charles City, VA","county","earnings_per_job",45935.9756097561,2018,"ratio","dollars"
51037,"Charlotte, VA","county","earnings_per_job",33698.1638126676,2018,"ratio","dollars"
51041,"Chesterfield, VA","county","earnings_per_job",50941.2645547724,2018,"ratio","dollars"
51043,"Clarke, VA","county","earnings_per_job",41580.6451612903,2018,"ratio","dollars"
51045,"Craig, VA","county","earnings_per_job",30514.3859649123,2018,"ratio","dollars"
51047,"Culpeper, VA","county","earnings_per_job",46328.7905309661,2018,"ratio","dollars"
51049,"Cumberland, VA","county","earnings_per_job",35537.9644588045,2018,"ratio","dollars"
51051,"Dickenson, VA","county","earnings_per_job",46181.4159292035,2018,"ratio","dollars"
51057,"Essex, VA","county","earnings_per_job",35346.2118356577,2018,"ratio","dollars"
51061,"Fauquier, VA","county","earnings_per_job",49842.317879023,2018,"ratio","dollars"
51063,"Floyd, VA","county","earnings_per_job",27896.0311284047,2018,"ratio","dollars"
51065,"Fluvanna, VA","county","earnings_per_job",38556.0464529159,2018,"ratio","dollars"
51067,"Franklin, VA","county","earnings_per_job",36360.9619926992,2018,"ratio","dollars"
51071,"Giles, VA","county","earnings_per_job",43365.620328849,2018,"ratio","dollars"
51073,"Gloucester, VA","county","earnings_per_job",37141.259032796,2018,"ratio","dollars"
51075,"Goochland, VA","county","earnings_per_job",94977.1306946835,2018,"ratio","dollars"
51077,"Grayson, VA","county","earnings_per_job",26626.9705603039,2018,"ratio","dollars"
51079,"Greene, VA","county","earnings_per_job",39248.9934964385,2018,"ratio","dollars"
51083,"Halifax, VA","county","earnings_per_job",41741.9274714357,2018,"ratio","dollars"
51085,"Hanover, VA","county","earnings_per_job",48940.5207016,2018,"ratio","dollars"
51087,"Henrico, VA","county","earnings_per_job",71028.660365033,2018,"ratio","dollars"
51091,"Highland, VA","county","earnings_per_job",24370.281124498,2018,"ratio","dollars"
51093,"Isle of Wight, VA","county","earnings_per_job",46658.7809982876,2018,"ratio","dollars"
51097,"King and Queen, VA","county","earnings_per_job",37843.4959349593,2018,"ratio","dollars"
51099,"King George, VA","county","earnings_per_job",90128.9723218862,2018,"ratio","dollars"
51101,"King William, VA","county","earnings_per_job",42881.7358130663,2018,"ratio","dollars"
51103,"Lancaster, VA","county","earnings_per_job",38972.7772951057,2018,"ratio","dollars"
51105,"Lee, VA","county","earnings_per_job",34195.9440159954,2018,"ratio","dollars"
51107,"Loudoun, VA","county","earnings_per_job",66416.1252646179,2018,"ratio","dollars"
51109,"Louisa, VA","county","earnings_per_job",51007.117201011,2018,"ratio","dollars"
51111,"Lunenburg, VA","county","earnings_per_job",34235.4948805461,2018,"ratio","dollars"
51113,"Madison, VA","county","earnings_per_job",31911.2587293476,2018,"ratio","dollars"
51115,"Mathews, VA","county","earnings_per_job",32161.9695497247,2018,"ratio","dollars"
51117,"Mecklenburg, VA","county","earnings_per_job",38656.5121982703,2018,"ratio","dollars"
51119,"Middlesex, VA","county","earnings_per_job",38764.9580615098,2018,"ratio","dollars"
51125,"Nelson, VA","county","earnings_per_job",35916.2403157433,2018,"ratio","dollars"
51127,"New Kent, VA","county","earnings_per_job",36177.3162939297,2018,"ratio","dollars"
51131,"Northampton, VA","county","earnings_per_job",38315.3643001398,2018,"ratio","dollars"
51133,"Northumberland, VA","county","earnings_per_job",40260.0441501104,2018,"ratio","dollars"
51135,"Nottoway, VA","county","earnings_per_job",42836.6115919224,2018,"ratio","dollars"
51137,"Orange, VA","county","earnings_per_job",40657.1428571429,2018,"ratio","dollars"
51139,"Page, VA","county","earnings_per_job",37923.3094491715,2018,"ratio","dollars"
51141,"Patrick, VA","county","earnings_per_job",32560.6039617676,2018,"ratio","dollars"
51145,"Powhatan, VA","county","earnings_per_job",39313.9039186752,2018,"ratio","dollars"
51147,"Prince Edward, VA","county","earnings_per_job",41340.577960235,2018,"ratio","dollars"
51155,"Pulaski, VA","county","earnings_per_job",46934.6773734267,2018,"ratio","dollars"
51157,"Rappahannock, VA","county","earnings_per_job",33219.6339434276,2018,"ratio","dollars"
51159,"Richmond, VA","county","earnings_per_job",43543.730741882,2018,"ratio","dollars"
51167,"Russell, VA","county","earnings_per_job",42074.534789644,2018,"ratio","dollars"
51169,"Scott, VA","county","earnings_per_job",32739.1026460437,2018,"ratio","dollars"
51171,"Shenandoah, VA","county","earnings_per_job",41203.4443603331,2018,"ratio","dollars"
51173,"Smyth, VA","county","earnings_per_job",40920.3360919831,2018,"ratio","dollars"
51179,"Stafford, VA","county","earnings_per_job",54135.8167409458,2018,"ratio","dollars"
51181,"Surry, VA","county","earnings_per_job",82562.9955947137,2018,"ratio","dollars"
51183,"Sussex, VA","county","earnings_per_job",42672.9957805907,2018,"ratio","dollars"
51185,"Tazewell, VA","county","earnings_per_job",43573.9498400248,2018,"ratio","dollars"
51187,"Warren, VA","county","earnings_per_job",42703.7238084898,2018,"ratio","dollars"
51193,"Westmoreland, VA","county","earnings_per_job",33759.341563786,2018,"ratio","dollars"
51197,"Wythe, VA","county","earnings_per_job",39395.0673226308,2018,"ratio","dollars"
