"geoid","region_type","year","measure","value","measure_type"
"51001","county","2021","prevent_hosp_rate",4036,"rate per 100k"
"51003","county","2021","prevent_hosp_rate",3533,"rate per 100k"
"51005","county","2021","prevent_hosp_rate",9113,"rate per 100k"
"51007","county","2021","prevent_hosp_rate",5286,"rate per 100k"
"51009","county","2021","prevent_hosp_rate",4404,"rate per 100k"
"51011","county","2021","prevent_hosp_rate",4816,"rate per 100k"
"51013","county","2021","prevent_hosp_rate",2804,"rate per 100k"
"51015","county","2021","prevent_hosp_rate",4113,"rate per 100k"
"51017","county","2021","prevent_hosp_rate",6972,"rate per 100k"
"51019","county","2021","prevent_hosp_rate",NA,"rate per 100k"
"51021","county","2021","prevent_hosp_rate",3689,"rate per 100k"
"51023","county","2021","prevent_hosp_rate",3639,"rate per 100k"
"51025","county","2021","prevent_hosp_rate",5174,"rate per 100k"
"51027","county","2021","prevent_hosp_rate",7599,"rate per 100k"
"51029","county","2021","prevent_hosp_rate",5710,"rate per 100k"
"51031","county","2021","prevent_hosp_rate",3918,"rate per 100k"
"51033","county","2021","prevent_hosp_rate",5181,"rate per 100k"
"51035","county","2021","prevent_hosp_rate",4458,"rate per 100k"
"51036","county","2021","prevent_hosp_rate",4449,"rate per 100k"
"51037","county","2021","prevent_hosp_rate",4941,"rate per 100k"
"51041","county","2021","prevent_hosp_rate",3516,"rate per 100k"
"51043","county","2021","prevent_hosp_rate",5111,"rate per 100k"
"51045","county","2021","prevent_hosp_rate",4523,"rate per 100k"
"51047","county","2021","prevent_hosp_rate",4609,"rate per 100k"
"51049","county","2021","prevent_hosp_rate",5139,"rate per 100k"
"51051","county","2021","prevent_hosp_rate",5433,"rate per 100k"
"51053","county","2021","prevent_hosp_rate",6277,"rate per 100k"
"51057","county","2021","prevent_hosp_rate",4083,"rate per 100k"
"51059","county","2021","prevent_hosp_rate",2829,"rate per 100k"
"51061","county","2021","prevent_hosp_rate",5501,"rate per 100k"
"51063","county","2021","prevent_hosp_rate",3463,"rate per 100k"
