"GEOID","NAME","population_2009","population_margin_2009","population_2010","population_margin_2010","population_2011","population_margin_2011","population_2012","population_margin_2012","population_2013","population_margin_2013","population_2014","population_margin_2014","population_2015","population_margin_2015","population_2016","population_margin_2016","population_2017","population_margin_2017","population_2018","population_margin_2018","population_2019","population_margin_2019","doctors_2009","doctors_2010","doctors_2011","doctors_2012","doctors_2013","doctors_2014","doctors_2015","doctors_2016","doctors_2017","doctors_2018","doctors_2019"
"51001090100","Census Tract 901, Accomack County, Virginia",0,0,3183,846,3085,937,3012,917,2965,857,2933,922,2930,891,2919,896,2903,781,2899,873,2899,748,5,6,7,6,6,6,6,6,6,6,6
"51001090200","Census Tract 902, Accomack County, Virginia",0,0,5200,1336,5309,1378,5153,1182,5523,1397,6231,1488,6505,1520,6407,1486,6353,1681,5960,1515,5771,1451,4,5,5,5,5,5,5,5,6,5,5
"51001090300","Census Tract 903, Accomack County, Virginia",0,0,2975,772,2842,629,2737,700,2459,589,2369,613,2458,552,2456,583,2299,513,2527,640,2439,576,0,0,0,0,0,0,0,0,0,0,0
"51001090400","Census Tract 904, Accomack County, Virginia",0,0,6772,2029,7109,2249,6684,2069,6733,2144,6589,1975,6328,1978,6165,1808,6097,1875,6332,2289,6603,2223,2,1,1,3,3,2,2,1,2,1,2
"51001090500","Census Tract 905, Accomack County, Virginia",0,0,2804,684,2779,807,2915,817,2854,774,2643,748,2501,648,2574,616,2404,613,2310,625,2526,732,1,1,1,1,1,1,1,1,1,1,1
"51001090600","Census Tract 906, Accomack County, Virginia",0,0,4686,1067,4407,889,4538,1000,4126,974,3735,818,3584,755,3751,856,3537,822,3693,903,3726,817,30,23,26,23,22,29,26,26,25,26,26
"51001090700","Census Tract 907, Accomack County, Virginia",0,0,5285,2131,4831,1772,4859,1901,5148,1633,5021,1659,4995,1716,5126,1695,5479,1945,5412,1886,5280,1907,0,0,0,0,0,0,0,0,0,0,0
"51001090800","Census Tract 908, Accomack County, Virginia",0,0,3161,979,3326,1024,3548,902,3476,905,3641,966,3814,992,3662,1013,3768,1096,3609,993,3429,1033,0,0,0,0,0,0,0,0,0,0,0
"51001980100","Census Tract 9801, Accomack County, Virginia",0,0,0,127,8,7,5,7,3,5,2,4,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51001980200","Census Tract 9802, Accomack County, Virginia",0,0,0,127,5,3,3,3,2,2,1,2,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51001990100","Census Tract 9901, Accomack County, Virginia",0,0,0,127,0,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51001990200","Census Tract 9902, Accomack County, Virginia",0,0,0,127,0,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51003010100","Census Tract 101, Albemarle County, Virginia",4939,1049,5129,1091,4998,1025,4807,882,4619,778,4986,826,5423,919,5575,1040,5651,1002,5553,1149,5102,1138,4,4,4,4,4,4,4,4,4,4,4
"51003010201","Census Tract 102.01, Albemarle County, Virginia",0,0,4826,651,4828,643,4309,604,4590,598,4566,578,4536,603,4713,641,4795,609,4737,629,4807,641,1,1,1,1,1,1,1,1,1,1,1
"51003010202","Census Tract 102.02, Albemarle County, Virginia",0,0,3410,549,3394,567,3232,591,3248,584,3108,502,3155,485,3251,419,3162,391,3130,497,3101,456,1,1,1,1,1,1,1,1,1,1,1
"51003010300","Census Tract 103, Albemarle County, Virginia",7981,1044,8323,1668,8087,1508,8658,1535,8728,1555,9115,1860,8833,1783,8804,1910,8364,1976,8696,1888,8515,1983,28,21,25,27,26,23,23,25,26,22,24
"51003010401","Census Tract 104.01, Albemarle County, Virginia",0,0,4045,898,3926,839,3947,798,4247,830,4315,740,4516,876,4390,844,4417,862,4139,912,4175,869,1,1,1,1,1,1,1,1,1,1,1
"51003010402","Census Tract 104.02, Albemarle County, Virginia",0,0,3500,519,3375,514,3219,543,3315,503,3196,434,3245,456,3080,410,3072,487,2935,459,3000,459,1,1,1,1,1,1,1,1,1,1,1
"51003010500","Census Tract 105, Albemarle County, Virginia",3946,549,4164,702,4453,743,4623,805,4767,856,5156,1166,5238,1219,5325,1119,5255,1110,5565,1175,5492,976,110,115,127,120,126,113,121,132,108,131,124
"51003010601","Census Tract 106.01, Albemarle County, Virginia",0,0,6078,1099,6190,1282,5741,1050,5472,979,5574,978,5841,1009,6052,1072,6454,1040,6579,1077,6330,992,34,34,32,34,31,39,31,33,30,33,33
"51003010602","Census Tract 106.02, Albemarle County, Virginia",0,0,2539,494,2684,637,2850,556,2879,477,3261,523,3341,505,3533,525,3819,599,4070,695,4314,690,1,1,1,1,1,1,1,1,1,1,1
"51003010700","Census Tract 107, Albemarle County, Virginia",5679,1111,6310,1481,5962,1484,5764,1307,5816,1433,5763,1310,5788,1202,5629,954,5861,1277,5795,1208,6064,1418,34,32,37,26,32,33,35,33,33,30,32
"51003010800","Census Tract 108, Albemarle County, Virginia",4114,1344,4797,1272,5066,1437,5303,1530,5017,1581,4673,1489,4736,1287,4635,1220,4941,1273,5352,1453,5721,1585,9,7,6,9,6,6,8,6,7,7,7
"51003010901","Census Tract 109.01, Albemarle County, Virginia",2316,557,2199,543,2087,406,2024,354,1925,278,1667,340,1835,550,1785,405,1756,372,1805,596,1920,560,9,11,10,8,8,9,8,11,9,7,9
"51003010902","Census Tract 109.02, Albemarle County, Virginia",3516,608,2548,686,2427,421,2941,758,2966,645,3095,514,3229,670,3320,737,3187,966,3523,936,3520,1187,1,1,1,2,1,1,1,1,1,2,1
"51003010903","Census Tract 109.03, Albemarle County, Virginia",2099,599,2247,612,2371,1058,2828,1469,3422,1421,3753,1315,3838,1415,3715,951,3483,990,3159,781,3004,562,7,9,11,7,17,4,34,1,32,3,6
"51003011000","Census Tract 110, Albemarle County, Virginia",6634,1512,6470,1447,6275,1338,6430,1408,6306,1350,5988,1284,6071,1304,6087,1243,6106,1261,6442,1442,6528,1467,23,29,27,22,27,27,25,26,23,26,25
"51003011100","Census Tract 111, Albemarle County, Virginia",5762,1263,6510,1503,7187,1664,7800,1861,7955,1814,8170,1868,8077,1692,8221,1704,7869,1335,7855,1535,8287,1638,19,18,20,18,21,20,23,20,18,23,19
"51003011201","Census Tract 112.01, Albemarle County, Virginia",0,0,3767,951,3774,876,3817,955,3868,917,4033,995,3870,906,4296,932,4231,803,3940,812,4065,877,0,0,0,0,0,0,0,0,0,0,0
"51003011202","Census Tract 112.02, Albemarle County, Virginia",0,0,3183,427,3197,563,3414,446,3428,477,3482,475,3361,479,3522,431,3536,465,3466,423,3616,403,37,36,37,38,39,37,36,36,38,37,37
"51003011301","Census Tract 113.01, Albemarle County, Virginia",0,0,5013,1195,5346,1462,5617,1512,5787,1330,5783,1397,5648,1534,5675,1401,5701,1516,5755,1384,5789,1629,2,2,2,2,2,2,2,2,2,2,2
"51003011302","Census Tract 113.02, Albemarle County, Virginia",0,0,3936,997,4089,943,4192,1041,4421,859,4254,814,4267,795,4291,843,4553,829,4833,810,4936,880,1,1,1,1,1,1,1,1,1,1,1
"51003011303","Census Tract 113.03, Albemarle County, Virginia",0,0,3191,488,3525,684,3406,554,3469,534,3512,518,3749,509,3867,468,3934,494,3833,621,3928,590,21,21,22,19,22,21,21,18,18,21,21
"51003011400","Census Tract 114, Albemarle County, Virginia",3777,828,4448,1035,4737,1067,4562,948,4391,965,4433,884,4511,1006,4521,870,4958,1195,5193,1201,5191,1276,11,9,10,9,9,8,9,9,9,9,9
"51005070100","Census Tract 701, Alleghany County, Virginia",3987,901,4088,999,4239,1097,4090,1039,4117,958,4182,1016,4079,912,3984,798,3801,845,3753,877,3694,938,4,3,4,4,5,4,4,5,4,4,4
"51005080100","Census Tract 801, Alleghany County, Virginia",2540,690,3644,836,3662,854,3665,743,3465,699,3140,616,2930,581,3080,620,3097,670,3169,654,3406,691,46,35,17,20,26,40,30,37,30,43,34
"51005080201","Census Tract 802.01, Alleghany County, Virginia",2995,614,2855,505,2732,444,2611,422,2595,390,2638,391,2691,410,2718,439,2673,406,2757,438,2656,453,1,1,1,1,1,1,1,1,1,1,1
"51005080202","Census Tract 802.02, Alleghany County, Virginia",2575,650,2334,587,2354,660,2501,573,2460,553,2534,594,2674,573,2519,673,2440,710,2305,682,2278,573,2,2,2,2,2,2,3,2,3,2,2
"51005080301","Census Tract 803.01, Alleghany County, Virginia",1793,202,1995,202,1812,162,1971,176,2110,216,2201,179,2211,201,2175,203,2099,210,1952,191,1772,198,0,0,0,0,0,0,0,0,0,0,0
"51005080302","Census Tract 803.02, Alleghany County, Virginia",899,355,1490,290,1527,471,1459,373,1493,388,1438,318,1481,330,1443,291,1379,259,1350,291,1351,347,1,0,1,2,2,0,1,0,0,1,1
"51007930100","Census Tract 9301, Amelia County, Virginia",0,0,6232,1649,6263,1737,6564,1970,6635,1881,6697,1764,7289,2063,7281,2008,6853,2073,6877,1918,7091,2023,0,0,0,0,0,0,0,0,0,0,0
"51007930200","Census Tract 9302, Amelia County, Virginia",0,0,6285,1801,6368,1790,6110,1563,6077,1572,6067,1874,5488,1495,5512,1264,5949,1431,5977,1496,5862,1538,7,3,7,9,5,8,7,7,8,7,7
"51009010100","Census Tract 101, Amherst County, Virginia",5324,1400,5525,1486,5516,1457,5325,1421,5150,1332,5020,1302,5040,1283,4743,1371,4343,1295,4673,1479,4626,1462,0,0,0,0,0,0,0,0,0,0,0
"51009010200","Census Tract 102, Amherst County, Virginia",8139,1397,8012,1449,7611,1413,7580,1333,7482,1380,7679,1359,7596,1429,7700,1545,7464,1633,7328,1530,6979,1558,21,25,20,18,21,20,20,21,19,23,20
"51009010300","Census Tract 103, Amherst County, Virginia",3245,413,3248,381,3342,434,3363,482,3458,470,3624,398,3674,464,3655,498,3710,541,3369,529,3227,582,0,0,0,0,0,0,0,0,0,0,0
"51009010401","Census Tract 104.01, Amherst County, Virginia",2799,617,2910,565,3147,598,3373,579,3702,583,3789,626,3697,683,3609,621,3378,619,3254,618,3416,657,0,0,0,0,0,0,0,0,0,0,0
"51009010402","Census Tract 104.02, Amherst County, Virginia",3354,487,3396,665,3570,642,3747,642,3534,702,3099,467,3066,628,3052,556,3218,608,3327,589,3399,545,8,9,9,10,8,10,11,9,8,7,9
"51009010502","Census Tract 105.02, Amherst County, Virginia",977,614,796,385,620,211,620,271,540,289,443,239,339,123,405,123,455,144,507,176,507,153,5,4,2,4,5,1,3,3,3,3,3
"51009010503","Census Tract 105.03, Amherst County, Virginia",2328,480,2230,433,2080,383,2146,406,2074,483,2213,470,2321,489,2396,496,2484,392,2452,537,2294,509,2,2,2,2,2,2,2,2,2,2,2
"51009010504","Census Tract 105.04, Amherst County, Virginia",3602,488,3770,582,3864,582,3534,519,3621,534,3510,538,3534,545,3485,533,3639,674,3753,625,4029,639,9,9,9,9,9,9,9,8,10,10,9
"51009010600","Census Tract 106, Amherst County, Virginia",2417,435,2428,410,2589,448,2613,462,2683,421,2860,490,2881,579,2954,686,3128,675,3219,797,3298,697,0,0,0,0,0,0,0,0,0,0,0
"51011040100","Census Tract 401, Appomattox County, Virginia",5752,1455,6026,1595,6339,1488,6379,1397,6407,1548,6557,1447,6542,1545,6527,1382,6756,1519,6824,1489,7079,1587,9,7,6,8,7,9,8,7,8,8,8
"51011040200","Census Tract 402, Appomattox County, Virginia",4597,942,4386,1035,4366,1010,4469,986,4445,1045,4442,928,4486,919,4443,887,4312,827,4314,785,4287,871,0,0,0,0,0,0,0,0,0,0,0
"51011040300","Census Tract 403, Appomattox County, Virginia",3869,1062,4241,1275,4115,1054,4104,963,4202,923,4138,983,4180,875,4344,979,4394,1091,4439,1077,4341,1156,0,0,0,0,0,0,0,0,0,0,0
"51013100100","Census Tract 1001, Arlington County, Virginia",3368,833,4504,779,4780,827,4844,826,5036,956,5120,980,5083,948,5149,989,5105,981,5303,1065,5296,1114,1,1,1,1,1,1,1,1,0,1,1
"51013100200","Census Tract 1002, Arlington County, Virginia",5488,1467,5934,1246,6235,1344,6618,1465,6768,1563,6795,1546,6848,1687,6589,1652,6405,1683,6492,1631,6600,1583,5,4,6,5,5,5,4,6,5,6,5
"51013100300","Census Tract 1003, Arlington County, Virginia",5775,1278,5905,1168,5991,1202,6150,1248,6211,1335,6538,1402,6017,1217,6269,1342,6264,1214,6535,1393,6255,1255,6,5,5,7,6,6,6,6,6,7,6
"51013100400","Census Tract 1004, Arlington County, Virginia",3491,603,3350,627,3477,601,3689,628,3872,595,3820,649,3919,726,4033,785,3989,683,3767,592,3918,488,1,1,1,1,1,1,1,1,1,1,1
"51013100500","Census Tract 1005, Arlington County, Virginia",4558,929,4509,894,4889,1068,4846,1066,4682,1083,4685,993,4799,1012,4485,839,4633,859,4697,902,4522,843,2,2,3,2,2,2,2,2,2,2,2
"51013100600","Census Tract 1006, Arlington County, Virginia",3174,690,2994,642,3016,673,3258,783,3265,686,3350,707,3268,656,3176,536,3235,612,3270,582,3467,658,2,2,2,2,2,2,2,2,2,2,2
"51013100700","Census Tract 1007, Arlington County, Virginia",5145,1495,4787,1353,5171,1633,4887,1572,5169,1576,5519,1371,5680,1690,5919,1744,6240,1822,5875,1713,5831,1714,4,6,5,6,5,6,4,5,5,5,5
"51013100800","Census Tract 1008, Arlington County, Virginia",1569,519,1444,356,1462,397,1609,386,1813,413,1724,399,1617,297,1615,317,1637,334,1618,250,1617,262,1,1,1,1,1,1,1,1,1,1,1
"51013100900","Census Tract 1009, Arlington County, Virginia",3651,980,4036,1050,4211,986,4421,1027,4831,1057,4806,900,4755,937,4658,970,4330,912,4142,865,4195,918,115,107,64,85,107,100,120,96,115,107,108
"51013101000","Census Tract 1010, Arlington County, Virginia",3688,1268,3157,793,3158,876,3146,803,3082,743,3226,710,3274,665,3338,632,3389,690,3335,697,3308,678,0,0,0,0,0,0,0,0,0,0,0
"51013101100","Census Tract 1011, Arlington County, Virginia",5412,1202,5229,1021,5349,1217,5581,1284,5667,1447,5770,1519,5772,1564,5945,1345,5846,1345,5800,1206,5934,1227,2,3,2,2,2,2,2,2,2,2,2
"51013101200","Census Tract 1012, Arlington County, Virginia",3752,796,3403,618,3631,629,3884,714,3955,689,4192,790,4405,817,4044,677,4057,735,3941,661,4037,649,2,2,2,1,2,2,2,2,2,2,2
"51013101300","Census Tract 1013, Arlington County, Virginia",6116,1911,5928,1662,6184,1793,6278,1830,6696,1765,6741,1848,6902,1973,6966,1915,7035,1994,7770,2342,7411,2177,0,0,0,0,0,0,0,0,0,0,0
"51013101401","Census Tract 1014.01, Arlington County, Virginia",0,0,1244,180,1306,163,1374,157,1360,160,1302,128,1355,118,1407,99,1515,116,1486,109,1454,142,12,11,11,11,9,11,11,11,12,10,11
"51013101402","Census Tract 1014.02, Arlington County, Virginia",0,0,2566,674,2664,684,2831,670,2773,675,2999,804,3046,859,3008,635,2871,649,2689,497,2362,419,0,0,0,0,0,0,0,0,0,0,0
"51013101403","Census Tract 1014.03, Arlington County, Virginia",0,0,5055,1051,5150,1113,5283,1223,5524,1203,5492,1178,5515,1269,5538,1049,5766,1083,5810,1074,6002,1131,7,7,7,7,8,7,8,9,8,6,7
"51013101404","Census Tract 1014.04, Arlington County, Virginia",0,0,3420,294,3677,366,3827,337,3935,389,4319,434,4638,458,4972,410,5173,547,5433,511,5212,357,25,27,31,21,23,28,30,24,30,25,28
"51013101500","Census Tract 1015, Arlington County, Virginia",7593,1808,7436,1813,7749,1807,7674,1817,8040,1848,7475,1921,7394,1923,7110,1818,7497,1906,7383,1777,7829,1650,4,7,7,7,8,7,6,6,7,7,7
"51013101601","Census Tract 1016.01, Arlington County, Virginia",0,0,1506,476,1514,548,1489,555,1418,462,1349,335,1328,222,1375,209,1473,228,1471,197,1474,176,0,0,0,0,0,0,0,0,0,0,0
"51013101602","Census Tract 1016.02, Arlington County, Virginia",0,0,1408,354,1634,321,1665,387,1608,366,1678,280,1674,312,1650,335,1689,400,1671,369,1729,275,0,0,0,0,0,0,0,0,0,0,0
"51013101603","Census Tract 1016.03, Arlington County, Virginia",0,0,3092,681,3105,626,3384,757,3326,754,3434,840,3621,878,3856,874,3700,637,3751,645,3939,755,4,4,4,4,4,4,4,4,4,4,4
"51013101701","Census Tract 1017.01, Arlington County, Virginia",0,0,3348,865,3015,1077,3193,943,3686,1434,3426,930,3490,982,3855,1013,4164,1076,4397,1050,4916,1200,6,8,7,8,8,7,5,8,8,9,7
"51013101702","Census Tract 1017.02, Arlington County, Virginia",0,0,3966,1016,4427,1282,4846,1238,4485,1148,4480,1154,4757,1139,4733,1055,4798,943,5173,986,5384,1095,3,4,4,4,5,5,5,3,2,5,4
"51013101703","Census Tract 1017.03, Arlington County, Virginia",0,0,2458,571,2118,492,2176,555,2066,452,1956,434,1984,371,2052,328,2060,350,2208,372,2291,376,3,3,3,3,3,3,3,3,3,3,3
"51013101801","Census Tract 1018.01, Arlington County, Virginia",0,0,2091,287,2134,312,2132,467,2272,515,2399,440,2684,489,3133,370,3331,342,3366,268,3664,320,4,3,4,3,4,3,4,3,3,3,3
"51013101802","Census Tract 1018.02, Arlington County, Virginia",0,0,5445,1301,5437,1652,5614,1606,6538,1979,6409,2236,6818,2452,7035,2021,7304,1889,6709,1607,6987,1678,3,3,3,3,3,3,3,3,2,4,3
"51013101803","Census Tract 1018.03, Arlington County, Virginia",0,0,4286,1287,4527,1370,4226,1268,4115,1165,4031,1060,4070,946,4216,1030,4509,975,4677,993,4555,964,2,2,2,2,2,2,2,2,2,2,2
"51013101900","Census Tract 1019, Arlington County, Virginia",2467,589,2453,595,2664,656,2894,639,3049,631,3131,618,3277,568,3123,591,3206,591,3242,602,3287,597,0,0,0,0,0,0,0,0,0,0,0
"51013102001","Census Tract 1020.01, Arlington County, Virginia",0,0,1584,410,2085,805,2186,824,2853,858,3163,1146,3240,1063,2943,695,2972,565,3079,584,3007,699,1,1,1,1,0,1,1,1,1,1,1
"51013102002","Census Tract 1020.02, Arlington County, Virginia",0,0,1483,273,1588,315,1556,320,1589,272,1753,309,1479,166,1449,167,1317,115,1318,116,1414,119,0,0,0,0,0,0,0,0,0,0,0
"51013102003","Census Tract 1020.03, Arlington County, Virginia",0,0,3708,1035,3722,1172,3778,941,3651,863,3947,954,3979,958,3733,1022,4109,980,4102,1008,4041,888,14,16,14,15,13,16,14,15,14,15,14
"51013102100","Census Tract 1021, Arlington County, Virginia",2909,690,2503,432,2503,453,2531,422,2321,421,2437,398,2534,399,2414,303,2465,287,2401,268,2394,303,21,49,33,32,43,38,29,37,42,45,35
"51013102200","Census Tract 1022, Arlington County, Virginia",8258,2033,6722,2249,6601,2037,6860,2265,7065,2519,7535,2424,7730,2620,8238,2975,8441,2887,8415,2780,8220,3058,0,0,0,0,0,0,0,0,0,0,0
"51013102301","Census Tract 1023.01, Arlington County, Virginia",0,0,1329,296,1429,278,1502,265,1519,314,1612,302,1641,328,1612,253,1619,250,1478,261,1433,248,0,0,0,0,0,0,0,0,0,0,0
"51013102302","Census Tract 1023.02, Arlington County, Virginia",0,0,4467,1425,4291,1329,4320,1094,4233,1105,4339,1227,4230,1140,4184,1119,4426,1456,4328,1308,4275,1220,0,0,0,0,0,0,0,0,0,0,0
"51013102400","Census Tract 1024, Arlington County, Virginia",3803,1208,3512,1082,3752,1154,3744,1113,3609,1089,3399,811,3321,794,3286,854,3254,827,3281,870,3349,760,5,3,3,2,3,3,3,3,2,3,3
"51013102500","Census Tract 1025, Arlington County, Virginia",4536,1300,4708,1181,4785,939,4929,1078,5086,1042,5184,971,5437,1000,5266,999,5348,1050,5444,1090,5687,1232,6,7,9,9,8,7,8,6,7,5,7
"51013102600","Census Tract 1026, Arlington County, Virginia",3575,693,3357,637,3452,607,3325,649,3608,588,3542,565,3428,570,3506,644,3959,721,3609,532,3684,550,1,1,1,1,1,1,1,1,1,1,1
"51013102701","Census Tract 1027.01, Arlington County, Virginia",0,0,3621,834,3642,699,3735,768,3789,669,3668,680,3812,567,4034,544,4008,606,4022,624,4135,600,0,0,0,0,0,0,0,0,0,0,0
"51013102702","Census Tract 1027.02, Arlington County, Virginia",0,0,1415,444,1556,384,1894,414,1950,555,2096,403,2246,409,2184,393,2102,369,2256,538,2062,406,1,1,1,1,1,1,1,1,1,1,1
"51013102801","Census Tract 1028.01, Arlington County, Virginia",0,0,5697,1791,5775,1872,6163,1764,6766,2102,7572,2462,8329,2686,8160,2772,8675,3027,8814,2887,8455,2875,1,1,1,1,1,1,1,1,1,1,1
"51013102802","Census Tract 1028.02, Arlington County, Virginia",0,0,1208,330,1107,297,1097,256,1123,255,1201,280,1317,232,1348,212,1330,247,1414,243,1383,217,0,0,0,0,0,0,0,0,0,0,0
"51013102901","Census Tract 1029.01, Arlington County, Virginia",0,0,2560,480,2654,509,2738,545,2720,549,2688,602,2697,504,2742,528,2723,509,2870,575,2918,604,0,0,0,0,0,0,0,0,0,0,0
"51013102902","Census Tract 1029.02, Arlington County, Virginia",0,0,4080,644,4336,685,4488,837,4529,797,4328,747,4373,685,4239,934,4288,743,4106,744,4275,740,1,1,1,1,1,1,1,1,1,1,1
"51013103000","Census Tract 1030, Arlington County, Virginia",3436,318,3319,679,3476,724,3447,702,3373,696,3435,632,3326,616,3247,554,3326,550,3375,495,3446,518,1,1,1,1,1,1,1,1,1,1,1
"51013103100","Census Tract 1031, Arlington County, Virginia",2523,863,4743,1394,5152,1474,5714,1556,6317,1448,7019,1576,6823,1565,7066,2027,6554,1677,6393,1659,5960,1686,0,0,0,0,0,0,0,0,0,0,0
"51013103200","Census Tract 1032, Arlington County, Virginia",7238,1820,5072,1311,5241,1417,5357,1573,5060,1306,5576,1499,5519,1570,5861,1707,5896,1757,5843,1687,5931,1531,8,6,14,3,7,14,7,17,9,2,9
"51013103300","Census Tract 1033, Arlington County, Virginia",1133,228,2312,643,2537,755,2305,659,2133,531,2498,591,2331,458,2236,499,2503,566,2550,589,2449,530,0,0,0,0,0,0,0,0,0,0,0
"51013103401","Census Tract 1034.01, Arlington County, Virginia",2145,1428,1666,1184,976,280,1037,306,1015,278,1027,297,1020,433,1021,323,1046,401,1185,610,1353,477,1,8,11,9,8,11,13,9,8,10,10
"51013103402","Census Tract 1034.02, Arlington County, Virginia",3575,1050,3864,1115,4196,1159,4695,1302,4981,1334,5305,1369,5483,1407,5793,1311,5488,1193,6037,1150,5919,1226,8,9,13,10,11,11,9,12,13,21,10
"51013103501","Census Tract 1035.01, Arlington County, Virginia",0,0,3151,866,2882,812,2682,744,2958,920,3040,853,3087,831,3195,730,3347,770,3348,726,3150,635,2,2,2,2,2,2,2,2,3,2,2
"51013103502","Census Tract 1035.02, Arlington County, Virginia",0,0,2828,634,2771,685,3108,891,3246,825,3403,619,3503,674,4022,651,4041,596,4306,588,4941,623,3,1,4,2,3,4,4,2,2,0,3
"51013103503","Census Tract 1035.03, Arlington County, Virginia",0,0,3585,600,3525,629,3532,605,3461,607,3407,642,3426,634,3484,653,3720,638,4161,727,4479,758,0,0,0,0,0,0,0,0,0,0,0
"51013103601","Census Tract 1036.01, Arlington County, Virginia",0,0,2295,552,2326,598,2319,604,2460,520,2445,532,2528,646,2702,643,2753,643,2788,705,2758,631,2,2,2,2,2,2,2,2,2,2,2
"51013103602","Census Tract 1036.02, Arlington County, Virginia",0,0,1088,295,1077,274,1266,332,1307,336,1409,374,1363,314,1247,284,1139,212,1208,234,1223,289,0,0,0,0,0,0,0,0,0,0,0
"51013103700","Census Tract 1037, Arlington County, Virginia",2653,490,2300,387,2369,441,2420,390,2343,447,2399,433,2596,341,2607,352,2737,363,2731,320,2616,322,1,1,1,1,1,1,1,1,1,1,1
"51013103800","Census Tract 1038, Arlington County, Virginia",4659,590,4308,956,4518,1167,4530,931,4550,871,4563,848,5133,1010,5001,1011,4704,827,4911,935,5027,993,6,6,5,6,5,6,6,6,6,6,6
"51013980100","Census Tract 9801, Arlington County, Virginia",0,0,0,127,0,95,0,12,0,12,14,18,16,18,15,18,14,16,15,17,0,12,45,15,6,15,21,23,128,127,23,87,12
"51013980200","Census Tract 9802, Arlington County, Virginia",0,0,28,25,0,95,0,12,4,5,3,6,8,5,8,5,9,5,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0
"51015070100","Census Tract 701, Augusta County, Virginia",5801,1252,5920,1004,6182,1631,6079,1159,5791,1083,5477,983,5089,1039,4532,760,4389,1029,4642,1141,4914,1080,631,1,1697,2142,525,1498,2600,827,1435,377,2
"51015070200","Census Tract 702, Augusta County, Virginia",4146,808,3997,835,3944,807,3882,744,3707,725,3666,822,3442,664,3541,667,3646,651,3543,609,3506,624,0,0,0,0,0,0,0,0,0,0,0
"51015070300","Census Tract 703, Augusta County, Virginia",4898,1176,5377,1027,5803,1034,5700,1077,6101,1077,6493,1168,6406,1204,6170,1127,6374,1175,6085,1161,5833,1095,8,11,10,9,9,7,9,9,10,9,9
"51015070400","Census Tract 704, Augusta County, Virginia",5572,1213,5967,1261,6306,1431,5906,1234,5679,1210,5458,1221,5308,1143,4907,1061,4962,1128,5343,1201,5338,1234,0,0,0,0,0,0,0,0,0,0,0
"51015070500","Census Tract 705, Augusta County, Virginia",4646,992,4861,899,5140,903,5880,1360,5988,1599,5427,1168,5641,1283,5612,1250,5300,1247,5138,1210,5436,1256,0,0,0,0,0,0,0,0,0,0,0
"51015070600","Census Tract 706, Augusta County, Virginia",7924,2177,8536,2096,8138,1898,8190,1733,8968,1785,8985,1860,9300,1922,9537,1917,9522,2089,9543,2129,10199,2237,132,130,140,135,125,124,147,137,121,138,138
"51015070700","Census Tract 707, Augusta County, Virginia",6423,1944,6284,1610,6158,1620,6111,1538,5888,1521,5969,1639,6237,1584,6616,1674,6730,1728,6747,1711,7025,1679,5,9,7,3,5,7,6,6,6,6,6
"51015070800","Census Tract 708, Augusta County, Virginia",5959,1560,6086,1562,6034,1552,5972,1674,5870,1599,5868,1549,5963,1575,5913,1720,6047,1636,6216,1617,6128,1665,3,2,2,2,2,2,2,2,2,2,2
"51015070900","Census Tract 709, Augusta County, Virginia",4788,1028,5056,1010,5064,1120,5120,1203,4725,1272,4822,1195,4731,1179,4772,1115,4719,1182,5003,1083,4975,1205,1,2,2,3,2,2,2,3,2,2,2
"51015071000","Census Tract 710, Augusta County, Virginia",4973,1275,5297,1272,5098,1261,5111,1249,5460,1313,5569,1414,5562,1222,5604,1381,5567,1440,5573,1384,5260,1536,8,6,6,6,6,4,5,7,7,5,6
"51015071101","Census Tract 711.01, Augusta County, Virginia",0,0,3974,1064,4312,1203,4373,1062,4189,931,4163,805,4503,889,4554,829,4474,794,4534,835,4474,879,8,10,9,7,8,8,10,8,10,10,9
"51015071102","Census Tract 711.02, Augusta County, Virginia",0,0,5718,1374,5413,1542,4977,1314,5441,1293,5934,1402,5886,1432,6486,1462,6542,1517,6251,1397,5948,1328,0,0,0,0,0,0,0,0,0,0,0
"51015071200","Census Tract 712, Augusta County, Virginia",6302,1650,6128,1564,5934,1433,6361,1777,5919,1571,5876,1351,5985,1390,6086,1443,6118,1302,6083,1257,6043,1320,2,2,3,2,2,2,2,2,2,2,2
"51017920100","Census Tract 9201, Bath County, Virginia",0,0,4779,1671,4747,1707,4713,1487,4686,1579,4644,1423,4583,1421,4558,1545,4458,1642,4393,1462,4307,1640,8,6,8,8,8,7,8,9,10,7,8
"51019030101","Census Tract 301.01, Bedford County, Virginia",6034,1015,6572,1152,6602,1202,6578,1108,6745,1243,6491,995,6547,997,6716,951,7210,1021,7330,1066,7206,974,7,4,4,5,6,6,8,11,9,7,6
