"GEOID","NAME","population_2009","population_margin_2009","population_2010","population_margin_2010","population_2011","population_margin_2011","population_2012","population_margin_2012","population_2013","population_margin_2013","population_2014","population_margin_2014","population_2015","population_margin_2015","population_2016","population_margin_2016","population_2017","population_margin_2017","population_2018","population_margin_2018","population_2019","population_margin_2019","doctors_2009","doctors_2010","doctors_2011","doctors_2012","doctors_2013","doctors_2014","doctors_2015","doctors_2016","doctors_2017","doctors_2018","doctors_2019"
"51710002600","Census Tract 26, Norfolk city, Virginia",2892,788,3266,782,3016,677,3303,638,4012,1472,4775,1121,4984,916,4989,861,4865,814,4531,747,4310,727,6,6,15,6,7,12,6,2,7,6,8
"51710002700","Census Tract 27, Norfolk city, Virginia",3312,1306,3360,1217,3033,894,2864,731,2923,876,3020,794,2976,905,2935,890,3338,1027,3059,933,2988,866,0,0,0,0,0,0,0,0,0,0,0
"51710002800","Census Tract 28, Norfolk city, Virginia",4188,1076,4321,1270,4314,1279,4410,1122,4201,1103,4416,1169,4114,958,4218,975,4143,936,4116,871,3932,846,2,2,2,2,2,2,2,2,1,2,2
"51710002900","Census Tract 29, Norfolk city, Virginia",2237,961,3551,1168,3900,1300,3879,1462,3972,1422,3783,1162,3617,1263,3603,1265,3608,1344,3659,1338,3879,1413,6,10,4,4,2,4,4,5,5,2,5
"51710003000","Census Tract 30, Norfolk city, Virginia",1836,434,1984,481,1910,415,1991,495,2119,470,1954,308,1919,305,1984,238,1846,254,1772,296,1773,292,1,1,1,1,1,1,1,1,1,1,1
"51710003100","Census Tract 31, Norfolk city, Virginia",2916,784,3224,1018,3009,776,2889,831,3353,979,3010,770,2751,752,2736,825,2979,851,2918,805,2962,899,0,0,0,0,0,0,0,0,0,0,0
"51710003200","Census Tract 32, Norfolk city, Virginia",2826,920,2872,1038,2867,887,2650,848,2644,734,2717,694,2949,620,3168,635,3380,734,3329,798,3312,752,0,0,0,0,0,0,0,0,0,0,0
"51710003300","Census Tract 33, Norfolk city, Virginia",2319,707,2685,690,2525,624,2682,518,2689,505,2690,503,2720,559,2541,478,2584,556,2685,578,2695,634,0,0,0,0,0,0,0,0,0,0,0
"51710003400","Census Tract 34, Norfolk city, Virginia",1639,500,1809,528,1784,478,1909,528,2155,422,2460,495,2402,460,2513,548,2516,498,2483,467,2229,442,0,0,0,0,0,0,0,0,0,0,0
"51710003501","Census Tract 35.01, Norfolk city, Virginia",2867,998,3743,1369,3494,1237,3383,1238,3187,1066,3022,897,2926,854,2819,889,2700,924,2873,1056,2750,1157,6,4,4,5,6,5,6,4,4,5,5
"51710003600","Census Tract 36, Norfolk city, Virginia",929,79,1044,125,1184,159,1393,137,1395,151,1390,156,1565,152,1637,163,1650,160,1731,210,1911,223,2,2,2,2,2,2,3,1,1,2,2
"51710003700","Census Tract 37, Norfolk city, Virginia",1803,473,2411,548,2402,507,2349,482,2194,428,2129,496,2160,428,1949,344,2292,604,2250,516,2377,503,11,9,11,9,10,9,9,11,10,11,10
"51710003800","Census Tract 38, Norfolk city, Virginia",2543,539,2610,526,4206,1620,3096,928,3939,1396,3800,1369,2991,596,2893,522,2888,456,2706,500,2776,491,7,5,6,5,4,3,4,4,5,4,4
"51710004001","Census Tract 40.01, Norfolk city, Virginia",1074,238,1212,289,1207,249,1277,190,1299,161,1233,159,1205,105,1201,98,1269,116,1196,99,1270,113,4,4,4,4,4,4,4,4,4,4,4
"51710004002","Census Tract 40.02, Norfolk city, Virginia",2595,546,2842,702,3098,707,3361,767,3256,663,3450,739,3351,639,3377,635,3408,737,3186,608,3058,649,58,474,413,438,527,480,411,484,375,712,390
"51710004100","Census Tract 41, Norfolk city, Virginia",1852,394,2142,365,1864,244,1927,255,1861,256,1883,147,1963,169,2060,166,2157,170,2129,167,2211,185,0,0,0,0,0,0,0,0,0,0,0
"51710004200","Census Tract 42, Norfolk city, Virginia",1698,530,2046,602,1913,593,1816,490,1817,473,1724,454,1575,347,1599,373,1691,365,1697,393,1914,540,25,22,24,27,23,16,16,23,18,23,22
"51710004300","Census Tract 43, Norfolk city, Virginia",3715,1228,3749,1468,3809,1439,3209,1245,3343,1236,3037,1085,2809,833,2824,903,2922,948,2982,894,3177,844,0,0,0,0,0,0,0,0,0,0,0
"51710004400","Census Tract 44, Norfolk city, Virginia",1106,521,1204,446,1234,524,1490,532,1551,614,1523,476,1509,444,1572,424,1475,475,1537,427,1676,445,0,0,0,0,0,0,0,0,0,0,0
"51710004500","Census Tract 45, Norfolk city, Virginia",1633,200,1766,199,1773,222,1763,192,1765,178,1758,182,1713,174,1686,160,1727,173,1682,207,1591,255,4,4,4,4,4,4,4,4,4,4,4
"51710004600","Census Tract 46, Norfolk city, Virginia",2297,710,2973,993,2237,642,1842,430,1759,374,2096,423,1954,350,1985,417,2102,516,2140,550,1975,476,0,0,0,0,0,0,0,0,0,0,0
"51710004700","Census Tract 47, Norfolk city, Virginia",2219,713,2153,875,2194,711,2443,835,2585,671,2752,760,2993,459,3005,449,3016,488,2917,506,2967,612,0,0,0,0,0,0,0,0,0,0,0
"51710004800","Census Tract 48, Norfolk city, Virginia",1473,255,1591,235,1382,169,1524,195,1381,197,1321,160,1212,143,1344,164,1279,138,1348,139,1418,130,0,0,0,0,0,0,0,0,0,0,0
"51710004900","Census Tract 49, Norfolk city, Virginia",4060,1097,4366,789,3876,565,3984,562,4189,722,4400,579,4338,491,4684,590,4862,565,5092,564,5249,545,43,37,34,47,39,48,44,47,31,49,39
