"year","geoid_tr","OBESITY"
2018,51650010602,46.4
2019,51810045200,26
2019,51740213002,31.5
2019,51810046212,26.6
2019,51760050300,22.4
2018,51770002400,45.9
2017,51810041802,25.3
2018,51700032007,31.9
2019,51810045405,29.1
2017,51760020900,42.3
2017,51510200107,23.1
2018,51770002800,31.7
2019,51740211900,43.7
2017,51550021006,29.1
2018,51710005100,47.3
2017,51770000400,29.7
2019,51650010200,24.8
2018,51680001400,20.6
2019,51740210300,37
2018,51810046006,25.7
2017,51700032128,33.4
2018,51810042600,28
2017,51810044805,24.9
2018,51810045808,31.1
2017,51650010309,32.3
2019,51760060500,33.4
2017,51710006604,33.1
2017,51760070100,25.4
2018,51710000901,27.2
2017,51770003000,28
2019,51550021005,34.5
2018,51810045426,28
2019,51700032128,34.7
2019,51760030100,50.9
2018,51650010601,44.2
2019,51700030400,48
2019,51710006606,31.4
2019,51810046014,28.5
2018,51680000400,39.8
2018,51700031702,27.1
2017,51510200301,24.6
2019,51770000900,44.7
2019,51650010310,35.6
2019,51810045807,29.5
2018,51510200106,23.9
2017,51510200407,26
2018,51760050300,21.5
2018,51550021501,35.8
2017,51810040200,31.6
2017,51710003501,45.6
2019,51550021404,42.8
2018,51770001800,29.4
2019,51700031901,29.1
2018,51710005701,43.1
2017,51510201400,21.8
2017,51510201300,22.3
2017,51700032127,28.4
2019,51710004600,47.1
2018,51760010600,37.5
2017,51800075202,31.2
2019,51810046206,26.5
2018,51700030500,44.6
2017,51700030900,40
2018,51510200407,26
2019,51760070300,30.6
2017,51710003700,25.4
2017,51810040402,35.1
2017,51710002100,29.3
2019,51760010600,37.3
2019,51700032223,35.5
2018,51740213002,28.9
2017,51700032212,41.6
2019,51710002200,26.9
2018,51550020903,37.5
2019,51680000400,44.1
2018,51740210600,31.9
2019,51700032225,43.9
2019,51710003300,43.2
2019,51810044004,31.3
2018,51710006800,31.8
2019,51770002600,42.7
2019,51680000203,27.1
2018,51770002200,31.5
2018,51550020200,44.7
2017,51810045807,29.3
2019,51680001900,45.2
2019,51770001900,32.7
2018,51650010307,32
2017,51810040802,30.5
2017,51760070300,30.1
2019,51770003100,29
2018,51810046206,26.1
2017,51710001600,37
2019,51650010703,34.4
2018,51760050100,24.3
2019,51760060200,43.6
2019,51510201400,24.8
2018,51710003300,41.9
2019,51710005902,34.6
2018,51740212400,42.5
2017,51650011900,44.3
2018,51700032300,28.7
2017,51760071001,37.5
2017,51550021004,28.8
2019,51700032007,33.4
2017,51550020808,35.8
2018,51740212701,39.1
2019,51700030900,43.1
2018,51800075802,35
2019,51700030500,45.2
2018,51810045405,28.7
2018,51700032001,27.5
2019,51810040000,24.3
2019,51810045408,29
2019,51770000601,34
2018,51700031901,27.8
2017,51550021010,30.5
2019,51550021302,35.7
2019,51740211100,49.5
2018,51810045807,29.3
2019,51680000801,37.2
2019,51550020002,39.4
2017,51810043400,22.6
2018,51710005000,48.3
2019,51650010900,45.8
2019,51510200703,27.9
2019,51760010200,25.8
2018,51760021000,41.8
2017,51650010800,32.4
2018,51810046221,33.5
2019,51650010702,37.6
2018,51770002600,40.3
2017,51770002700,35.2
2017,51810045000,19.1
2018,51510200103,30.8
2019,51680000201,29.5
2017,51760061000,33.8
2019,51760071002,35
2019,51650011200,38.4
2018,51710007001,32.4
2017,51800075301,27.9
2018,51510202001,20.6
2019,51810046005,29.1
2017,51810046223,25.7
2019,51550021200,31.3
2018,51810046212,25.7
2017,51550021601,29.4
2018,51810046213,29.1
2019,51550020700,43.8
2019,51770000300,36.9
2019,51800075204,34
2018,51760070602,41.5
2017,51710007002,38.3
2019,51680000900,34.1
2017,51760011000,41.5
2018,51810040403,28.3
2017,51550020903,37.5
2017,51800075701,35.2
2019,51710004800,53.6
2018,51810040801,27.9
2018,51800075101,33.2
2019,51700031500,30.2
2018,51760020700,43.8
2017,51800075204,33.5
2019,51710004700,28.4
2017,51740213104,39.3
2019,51760050200,22.3
2017,51700032002,28.7
2018,51710002800,29.2
2019,51800075101,34.5
2018,51710005800,41
2019,51760010700,42.4
2018,51710001200,27.7
2017,51510200403,21.8
2019,51740212000,49.1
2019,51550020100,48.8
2019,51700030300,44.4
2018,51700031300,38.9
2019,51810040402,35.8
2019,51760010300,46.5
2017,51800075302,32.8
2019,51710006100,37.5
2019,51800075602,31.7
2017,51740213200,34
2019,51650010311,38.6
2018,51680000801,32.9
2018,51770000500,36.4
2019,51510200702,22.9
2019,51760020400,48.8
2017,51810042000,24.1
2018,51710006901,34.3
2019,51650011500,33.1
2017,51550021501,35.8
2018,51810045425,27.4
2018,51680001700,25.8
2018,51710002500,29.1
2018,51710002900,44.6
2018,51710001400,32.3
2018,51800075501,36.3
2018,51710007002,38.3
2017,51710004600,46.3
2019,51770002900,27.1
2018,51710005702,38.8
2019,51760040200,27.4
2017,51740211700,46.4
2017,51710004800,53.3
