"ID","year","population","population_error","doctors","obesity","physician_access","health_score"
"51001","2009",0,0,42,-0.567316166666667,-0.0107953558197817,-0.249990070661737
"51001","2010",34066,10352,36,-0.92790225,0.047690040019873,-0.408569744614368
"51001","2011",33701,9885,40,-1.11623883333333,0.0195359650192643,-0.589045236891956
"51001","2012",33454,9522,38,0.172257333333333,-0.0317470923391252,0.181419743603446
"51001","2013",33289,9304,37,0.15897025,0.0460970729869325,0.176876233790362
"51001","2014",33165,9219,43,0.09390925,0.00862380408797286,0.172887628771171
"51001","2015",33115,9100,40,0.279515916666667,0.0704528878125351,0.227803325997728
"51001","2016",33060,9001,39,0.116059666666667,0.148436254874583,0.262777188184507
"51001","2017",32840,9374,40,0,-0.0433969297660397,-0.0734332981438306
"51001","2018",32742,9772,39,0,8e-04,0.146257287036414
"51001","2019",32673,9535,40,0,0.001225,0.153016942928263
"51003","2009",50763,10464,355,-1.01663977272727,0.0554497884258566,0.162945859976757
"51003","2010",96633,20308,355,-0.780495863636364,-0.00150015791810672,0.224197534679275
"51003","2011",97978,21161,377,-0.754926454545454,-0.0019577610314128,0.258139786884425
"51003","2012",99484,21507,351,-0.845690954545455,0.0634583552883618,0.0915577993425891
"51003","2013",100636,20764,377,-1.03482790909091,0.064067038801911,0.0144705730455353
"51003","2014",101883,20810,353,-0.95943,-0.11771837437355,-0.251687396241398
"51003","2015",103108,21204,387,-0.979934045454545,0.0438384112345585,-0.141220163659966
"51003","2016",104287,20139,363,-0.929206181818182,0.0715542757789604,-0.1286547627344
"51003","2017",105105,20852,364,0,0.184302636464554,0.0265687591758772
"51003","2018",106355,21683,363,0,0.00305,-0.100695465205721
"51003","2019",107405,22276,359,0,0.00577727272727273,-0.155622525262973
"51005","2009",14789,3412,54,-0.0250305,-0.358036282563194,0.172053454812191
"51005","2010",16406,3419,41,-0.0864136666666667,-0.502805580085323,-0.33885008852989
"51005","2011",16326,3688,25,-0.201505333333333,-0.483953794128272,-0.340289708876436
"51005","2012",16297,3326,29,-0.2835135,-0.224736928783174,-0.0469878833481111
"51005","2013",16240,3204,36,-0.285640333333333,-0.232162944660156,0.0742672785873101
"51005","2014",16133,3114,47,-0.327518666666667,-0.179629963330777,-0.20492577143866
"51005","2015",16066,3007,39,-0.5080785,-0.147274468221128,-0.190830995728991
"51005","2016",15919,3024,45,-0.482064833333333,-0.107423239977899,-0.134870024883978
"51005","2017",15489,3100,38,0,-0.130633329123008,0.188559981091614
"51005","2018",15286,3133,51,0,0.00141666666666667,0.406015437005338
"51005","2019",15157,3200,42,0,0.00201666666666667,0.415858321309613
"51007","2009",0,0,7,-0.55594,-0.000398428680694062,-0.211174472285711
"51007","2010",12517,3450,3,-2.06727,0.0897884756836965,-1.12089911489049
"51007","2011",12631,3527,7,-2.1177705,0.15025129082047,-0.536315743406998
"51007","2012",12674,3533,9,-0.6872685,0.690694032005999,0.682966629126757
"51007","2013",12712,3453,5,-0.5137865,0.690256849959008,0.354239964112488
"51007","2014",12764,3638,8,-0.6974605,0.207302546594687,-0.0116988204645807
"51007","2015",12777,3558,7,-0.7691825,0.233263900278953,0.080239846401977
"51007","2016",12793,3272,7,-0.0759915,0.310454842424006,1.02110021103149
"51007","2017",12802,3504,8,0,0.407861577764621,0.493610075715849
"51007","2018",12854,3414,7,0,0.00305,-0.381064948877186
"51007","2019",12953,3561,7,0,6e-04,-0.371003626463601
"51009","2009",32185,6331,45,-0.743822777777778,0.131483721701558,-0.167479462012962
"51009","2010",32315,6356,49,-0.558770666666667,0.126544478520683,0.112718188567543
"51009","2011",32339,6168,42,-0.713317,-0.00231329857766532,-0.294714195014282
"51009","2012",32301,6115,43,-0.0816311111111111,-0.305124770683044,0.10523777999328
"51009","2013",32244,6194,45,-0.160265444444444,-0.29990996482558,0.106669193374209
"51009","2014",32237,5889,42,-0.292370888888889,-0.150643168779557,0.12985299267428
"51009","2015",32148,6223,45,-0.448264555555556,-0.193602113022145,-0.0149784917219335
"51009","2016",31999,6429,43,-0.58677,-0.110296492690187,-0.213897928475004
"51009","2017",31819,6581,42,0,-0.0999363630721695,-0.00750498506118319
"51009","2018",31882,6880,45,0,0.00186666666666667,0.150837804127202
"51009","2019",31775,6802,43,0,0.00268888888888889,0.0932591035488524
"51011","2009",14218,3459,9,-1.29427133333333,-0.177055452728916,-0.413327476933601
"51011","2010",14653,3905,7,-1.45603533333333,-0.166955619065232,-0.625538666200686
"51011","2011",14820,3552,6,-1.18799533333333,-0.171493822314476,-0.714426258723719
"51011","2012",14952,3346,8,-0.255971333333333,-0.0865802055761609,0.691514731796156
"51011","2013",15054,3516,7,-0.459992,-0.263436336856625,-0.150397625816193
"51011","2014",15137,3358,9,-0.447246,-0.234847423892408,0.196396567725386
"51011","2015",15208,3339,8,-0.222810333333333,-0.322050794974465,0.190814598412103
"51011","2016",15314,3248,7,-0.195396,-0.348548413619117,0.0529666128858218
"51011","2017",15462,3437,8,0,-0.0884239486732808,0.164044729973151
"51011","2018",15577,3351,8,0,0.00186666666666667,0.319463190146952
"51011","2019",15707,3614,8,0,9e-04,0.288489596734629
"51013","2009",115690,29079,342,-0.497711389830508,0.200856288533122,0.176505460415065
"51013","2010",197467,47965,344,-0.258316949152542,0.214377986654554,0.468822539592185
"51013","2011",202999,49855,298,-0.546123254237288,0.295738220513216,0.518354547927113
"51013","2012",209077,50425,300,-1.20123481355932,0.0436551100053606,-0.11390796115116
"51013","2013",214861,51223,343,-1.20818971186441,0.03995776090882,-0.135912873686272
"51013","2014",220173,51176,352,-1.27821805084746,0.104561804919801,-0.0856828809617431
"51013","2015",223945,51818,458,-1.235271,0.117879207187346,-0.125577703284721
"51013","2016",226092,50762,445,-1.11809503389831,0.135499445269154,-0.0375709613874876
"51013","2017",229534,50449,360,0,-0.0477555978393121,-0.28127933687252
"51013","2018",231803,49831,419,0,0.00197796610169492,-0.158648505134718
"51013","2019",233464,49456,334,0,0.00231016949152542,-0.225102325455741
"51015","2009",61432,15075,798,-0.579823615384615,8.69939196913704e-05,0.655671792476795
"51015","2010",73201,16578,173,-0.741950846153846,-0.0531467921910327,0.515311309800362
"51015","2011",73526,17435,1876,-1.25651546153846,-0.0426495994006289,0.252569900333686
"51015","2012",73662,17124,2309,-1.69425707692308,-0.0957423825782363,-0.268258303318962
"51015","2013",73726,16979,684,-1.92031061538462,-0.141834372740381,-0.439192067476153
"51015","2014",73707,16577,1654,-1.76362676923077,-0.199369795601078,-0.510274433540436
"51015","2015",74053,16526,2783,-1.76340338461538,-0.171670400898756,-0.221186323465393
"51015","2016",74330,16406,1001,-1.60007392307692,-0.115885306980728,-0.168943779449454
"51015","2017",74390,16918,1595,0,-0.0667304013547979,0.0566029368171741
"51015","2018",74701,16735,551,0,0.00279230769230769,0.0717938524099869
"51015","2019",75079,17138,176,0,0.00198461538461538,0.055905115412394
"51017","2009",0,0,8,-0.55594,-0.000398428680694062,0.444140284467108
"51017","2010",4779,1671,6,-0.978213,-0.110865046042055,-0.66591414117265
"51017","2011",4747,1707,8,-2.058588,-0.327006762483963,-1.21464408499747
"51017","2012",4713,1487,8,-1.361291,0.104536259326396,-0.161093632652894
"51017","2013",4686,1579,8,-1.02186,0.401026090829071,0.450637623374359
"51017","2014",4644,1423,7,-0.987642,0.469336317017768,0.288646070756458
"51017","2015",4583,1421,8,-0.754989,0.631685810243488,0.969466990652343
"51017","2016",4558,1545,9,-1.617286,-0.242138531235272,-0.380191331664811
"51017","2017",4458,1642,10,0,-0.165720108953271,0.425144674054857
"51017","2018",4393,1462,7,0,6e-04,-0.252624631227636
"51017","2019",4307,1640,8,0,9e-04,0.0964321784103319
"51019","2009",53147,10685,70,-0.539272823529412,-0.0145213365682688,0.493543336767952
"51019","2010",67697,13457,64,-0.545662294117647,-0.119410729152173,0.31482876201153
"51019","2011",68275,13364,67,-0.877037176470588,-0.172624557288081,-0.184519181064506
"51019","2012",68750,13308,70,-0.922386941176471,-0.066985984645386,0.178388050662609
"51019","2013",69175,13477,65,-0.914735823529412,-0.160595730168125,-0.130423451395961
"51019","2014",75607,14601,61,-0.848115058823529,-0.237893177641703,-0.215619453778903
"51019","2015",76463,14754,63,-1.03794147058824,-0.202653767220751,-0.363245501093408
"51019","2016",76933,15175,75,-0.999367058823529,-0.116410256448895,-0.242621058589379
"51019","2017",77319,15265,71,0,-0.0516697463135396,-0.0107676215898377
"51019","2018",77908,15260,65,0,0.00357647058823529,0.0765492207385522
"51019","2019",78376,15254,67,0,0.00174705882352941,0.08388689733135
"51021","2009",0,0,11,-0.55594,-0.000398428680694062,0.20872903325365
"51021","2010",6873,1742,11,-0.147771,-0.293794316533621,0.309166627674721
"51021","2011",6871,1673,11,-0.432018,-0.142277797191666,0.0354872484283592
